frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,1.768561,1.715905,1.622613,1.668141,-1.613848,0.653701,-0.856673,-1.119254,-1.000047,-0.664162,1.111313,0.811081,-1.290918,-4.685968,1.275199,1.762192
1,0.042700,0,1.750621,1.714776,1.615467,1.360659,-1.665516,1.008399,-1.009684,-1.124099,-1.000176,-1.005022,1.105464,0.845686,-1.235870,0.607103,1.261846,1.731008
2,0.085300,0,1.732127,1.704308,1.615467,1.572657,-1.705118,1.551383,-1.037318,-1.126176,-0.990012,-1.516937,1.103938,0.876669,-1.401015,1.341544,1.282402,1.658204
3,0.128000,0,1.714926,1.693305,1.615467,1.950131,-1.735534,1.434609,-0.936238,-1.130329,-0.979077,-1.407999,1.105355,0.902458,-1.125773,1.395292,1.284260,1.574963
4,0.170700,0,1.699359,1.681997,1.615467,1.580920,-1.758645,1.764741,-1.098523,-1.137020,-0.967755,-1.715148,1.109472,0.924776,-1.235870,1.407797,1.273918,1.533385
5,0.213300,0,1.681669,1.670212,1.615467,1.719072,-1.775692,0.900879,-0.951447,-1.137943,-0.958749,-0.902327,1.116981,0.931912,-1.401015,1.106229,1.245750,1.528188
6,0.256000,0,1.652160,1.658226,1.615467,1.330120,-1.787536,1.754309,-1.035835,-1.110487,-0.961322,-1.705472,1.129055,0.953491,-1.235870,1.264468,1.283618,1.533385
7,0.298700,0,1.622207,1.645722,1.608322,1.663564,-1.794777,1.469944,-0.805669,-1.081647,-0.964796,-1.441087,1.143394,0.960411,-1.235870,1.468880,1.299772,1.533385
8,0.341300,0,1.593982,1.632716,1.608322,1.745551,-1.797824,2.031942,-0.961091,-1.054422,-0.966597,-1.960805,1.158483,0.961569,-1.345966,1.462267,1.308861,1.528188
9,0.384000,0,1.567280,1.619067,1.608322,1.665392,-1.796962,1.541624,-0.793243,-1.029735,-0.967498,-1.507885,1.173452,0.957632,-1.290918,1.498340,1.314520,1.528188
10,0.426700,0,1.542138,1.605159,1.608322,1.570601,-1.792373,1.392712,-0.750771,-1.007124,-0.967240,-1.368669,1.187585,0.948138,-1.345966,1.484752,1.317970,1.533385
11,0.469300,0,1.518492,1.590666,1.608322,1.501189,-1.784168,1.363266,-0.767648,-0.986590,-0.965568,-1.341201,1.200301,0.933412,-1.290918,1.524913,1.319813,1.533385
12,0.512000,0,1.496351,1.576385,1.608322,1.501494,-1.772405,0.938738,-0.655997,-0.968594,-0.963895,-0.938536,1.211140,0.913113,-1.290918,1.526356,1.320403,1.528188
13,0.554700,0,1.475448,1.561437,1.601177,1.587623,-1.757093,1.518404,-0.915652,-0.952213,-0.961065,-1.486347,1.219653,0.888163,-1.345966,1.536817,1.319919,1.543779
14,0.597300,0,1.455754,1.546364,1.601177,1.757224,-1.738200,1.368986,-0.920288,-0.937908,-0.958235,-1.346507,1.225575,0.858078,-1.345966,1.496777,1.318513,1.533385
15,0.640000,0,1.437463,1.531111,1.486862,1.828230,-1.715658,1.395740,-0.982791,-0.925680,-0.954890,-1.371479,1.228615,0.823192,-1.401015,1.454331,1.316269,1.522948
16,0.682700,0,1.420973,1.515644,1.486862,1.390083,-1.689360,1.384298,-1.038988,-0.915990,-0.950644,-1.360866,1.228554,0.784813,-1.401015,1.450603,1.313233,1.543779
17,0.725300,0,1.405424,1.500570,1.479716,1.403649,-1.659140,1.708036,-1.215182,-0.907684,-0.946527,-1.662708,1.225297,0.741417,-1.401015,1.412246,1.309460,1.528188
18,0.768000,0,1.391279,1.484986,1.479716,1.256985,-1.624784,1.286874,-1.137656,-0.901455,-0.941638,-1.269096,1.218709,0.695192,-1.290918,1.407917,1.304943,1.528188
19,0.810700,0,1.378390,1.469233,1.479716,1.008211,-1.585996,1.393721,-1.240220,-0.897302,-0.936363,-1.369606,1.208802,0.645688,-1.345966,1.449762,1.299689,1.543779
20,0.853300,0,1.366433,1.453673,1.479716,1.042244,-1.542376,1.288220,-1.276386,-0.894533,-0.931089,-1.270344,1.195626,0.592673,-1.345966,1.449281,1.293679,1.528188
21,0.896000,0,1.355935,1.437883,1.472571,1.088585,-1.493400,0.820449,-1.127270,-0.893841,-0.925428,-0.824916,1.179228,0.538513,-1.345966,1.483911,1.286854,1.528188
22,0.938700,0,1.346222,1.421715,1.472571,1.289931,-1.438339,0.844343,-0.993362,-0.895456,-0.920410,-0.848014,1.159840,0.481036,-1.345966,1.470924,1.279164,1.533385
23,0.981300,0,1.338078,1.405958,1.472571,1.342653,-1.376219,0.510004,-0.730555,-0.898455,-0.914364,-0.524634,1.137653,0.422600,-1.345966,1.447838,1.270478,1.533385
