frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,4287.28,2270.578,6398.44,-0.5470774738,0.702095,0.134815,8.8244,-0.1087,-0.9266,0.145044,0.443583,23.978603,459,0.0,795.3145,0.087901,0
1,0.0427,4267.42,2269.4949,6398.44,-0.7659628312,0.663139,0.136333,8.7454,-0.1115,-0.9281,0.144233,0.443188,24.037776,446,0.044166,792.5182,0.087169,0
2,0.0853,4246.92,2263.3541,6386.72,-0.6685977202,0.63328,0.13896,8.7321,-0.113,-0.9212,0.142852,0.443084,24.090756,455,0.050268,795.4682,0.08546,0
3,0.128,4227.86,2256.9371,6386.72,-0.4317721023,0.610347,0.138053,8.788,-0.1153,-0.9138,0.143326,0.443178,24.134856,456,0.05071,795.2447,0.083506,0
4,0.1707,4210.34,2250.0469,6386.72,-0.6020606206,0.592922,0.140428,8.667,-0.1195,-0.9078,0.142091,0.443452,24.173021,456,0.050871,792.9486,0.08253,0
5,0.2133,4190.79,2243.2503,6386.72,-0.5211543146,0.580069,0.135461,8.7471,-0.1205,-0.9017,0.144698,0.443953,24.185228,459,0.04829,787.6268,0.082408,0
6,0.256,4158.2,2236.0873,6386.72,-0.7155894341,0.571139,0.140866,8.6653,-0.1097,-0.9054,0.141866,0.44476,24.222128,453,0.049665,793.4986,0.08253,0
7,0.2987,4124.89,2228.2239,6386.72,-0.3322545684,0.565679,0.141208,8.7181,-0.0995,-0.9134,0.14169,0.445719,24.233966,434,0.05142,769.8754,0.08253,0
8,0.3413,4094.0,2220.8431,6375.0,-0.300185446,0.563382,0.144144,8.6335,-0.0882,-0.9153,0.140201,0.446729,24.235949,422,0.051226,771.0998,0.082408,0
9,0.384,4064.76,2213.1251,6375.0,-0.3560392307,0.564032,0.141245,8.723,-0.078,-0.9166,0.141671,0.447732,24.229224,438,0.051522,771.7393,0.082408,0
10,0.4267,4037.24,2205.2793,6375.0,-0.4258117557,0.567492,0.140235,8.745,-0.0687,-0.9169,0.142191,0.448678,24.212996,437,0.051405,772.0029,0.08253,0
11,0.4693,4011.35,2197.1286,6375.0,-0.4830520386,0.573678,0.13988,8.7351,-0.0602,-0.9163,0.142374,0.449528,24.187821,427,0.051735,771.9922,0.08253,0
12,0.512,3987.11,2189.1033,6375.0,-0.4756111602,0.582547,0.137347,8.7944,-0.0529,-0.9156,0.143697,0.450254,24.153118,435,0.051744,771.766,0.082408,0
13,0.5547,3964.22,2180.73,6375.0,-0.4445343116,0.594092,0.140331,8.6537,-0.0462,-0.914,0.142141,0.450823,24.110461,429,0.051827,771.3566,0.082774,0
14,0.5973,3942.65,2172.2989,6363.28,-0.3497389607,0.608337,0.139308,8.6506,-0.0404,-0.9124,0.142671,0.45122,24.059027,375,0.051491,770.7883,0.08253,0
15,0.64,3922.62,2163.7808,6187.5,-0.3195821857,0.625333,0.139252,8.6163,-0.0355,-0.9104,0.1427,0.451423,23.999381,391,0.051134,770.0753,0.082285,0
16,0.6827,3904.55,2155.1561,6175.78,-0.6142515754,0.645161,0.138982,8.5855,-0.0317,-0.9077,0.14284,0.451418,23.933763,392,0.0511,769.2268,0.082774,0
17,0.7253,3887.51,2146.7545,6164.06,-0.6186763928,0.667946,0.140529,8.49,-0.0284,-0.9052,0.142039,0.451199,23.859568,389,0.050779,768.2498,0.082408,0
18,0.768,3872.0,2138.0856,6164.06,-0.7171225873,0.69385,0.138029,8.5313,-0.0261,-0.902,0.143338,0.450758,23.780535,378,0.050739,767.1457,0.082408,0
19,0.8107,3857.85,2129.3346,6164.06,-0.8914764141,0.723095,0.138395,8.4757,-0.0246,-0.8985,0.143147,0.450093,23.695895,378,0.051084,765.9144,0.082774,0
20,0.8533,3844.74,2120.697,6164.06,-0.8828131562,0.755983,0.137607,8.4558,-0.0237,-0.8951,0.14356,0.44921,23.605252,361,0.051078,764.552,0.082408,0
21,0.896,3833.21,2111.9432,6152.34,-0.8585050105,0.79291,0.134866,8.5368,-0.0237,-0.8913,0.145016,0.448111,23.512652,346,0.051363,763.0502,0.082408,0
22,0.9387,3822.54,2102.9936,6152.34,-0.7503576858,0.834424,0.134775,8.6121,-0.0247,-0.888,0.145065,0.446811,23.41438,377,0.051253,761.398,0.08253,0
23,0.9813,3813.33,2093.9023,6152.34,-0.6383047876,0.881261,0.133681,8.7231,-0.0273,-0.8869,0.145655,0.445324,23.314468,363,0.051119,759.5754,0.08253,0
24,1.024,3805.62,2084.7832,6140.62,-0.6743466722,0.934451,0.136144,8.6995,-0.0303,-0.8839,0.144333,0.443671,23.21303,376,0.051192,757.5528,0.082408,0
25,1.0667,3799.1,2075.7467,5730.47,-0.7132716649,0.995473,0.138596,8.6752,-0.034,-0.8811,0.143042,0.441882,23.107862,378,0.051071,755.283,0.080454,0
26,1.1093,3793.98,2066.2046,5730.47,-0.625935343,1.066491,0.139896,8.686,-0.0401,-0.881,0.142366,0.439988,23.004463,375,0.051052,726.9486,0.078379,0
27,1.152,3790.33,2057.3588,5730.47,-0.5721058603,1.150889,0.138682,8.769,-0.0446,-0.8753,0.142997,0.438035,22.898991,362,0.050268,724.0816,0.077768,0
28,1.1947,3787.96,2048.125,5730.47,-0.4880002431,1.254246,0.137642,8.8181,-0.0507,-0.87,0.143541,0.436081,22.793706,337,0.049905,720.2484,0.076303,0
