frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,505.68,248.5383,457.03,-3.8091655546,2.59935,0.117256,8.828,3.9119,15.8384,0.155144,0.108021,17.981075,252,0.0,71.083,0.009278,0
1,0.0427,531.62,299.839,457.03,-4.2451612592,2.640968,0.118075,9.358,3.4936,13.175,0.15464,0.110182,18.048113,257,0.069805,89.5355,0.009156,0
2,0.0853,561.04,354.0112,457.03,-4.5529121318,2.606002,0.115846,10.1987,3.2384,11.6962,0.15602,0.112831,18.092147,314,0.060863,92.9465,0.009156,0
3,0.128,589.82,398.9668,468.75,-3.4622622165,2.605194,0.124441,10.2821,2.9569,9.5805,0.15084,0.115767,18.125108,344,0.052429,95.6053,0.009156,0
4,0.1707,621.76,452.7012,1312.5,-3.7340376441,2.647662,0.126357,10.6984,2.8954,9.7155,0.149734,0.118841,18.152029,436,0.046018,114.4919,0.009156,0
5,0.2133,653.98,502.1316,1312.5,-3.6403869325,2.665997,0.129149,11.0925,2.7678,8.8414,0.148152,0.121938,18.175483,480,0.040652,117.2581,0.009156,0
6,0.256,686.11,551.2611,1312.5,-3.2925196197,2.619715,0.136382,11.1476,2.7078,8.6443,0.144207,0.124979,18.196715,482,0.035887,135.7433,0.009156,0
7,0.2987,719.39,602.94,1324.22,-3.5924449185,2.555118,0.13625,11.524,2.6765,8.5629,0.144277,0.127917,18.216248,485,0.032388,138.566,0.009156,0
8,0.3413,753.19,653.5264,1324.22,-3.8428257183,2.495347,0.13261,12.1988,2.6342,8.3794,0.146238,0.130724,18.234625,495,0.029722,156.7091,0.009156,0
9,0.384,784.18,696.2919,1324.22,-3.1504404747,2.442764,0.143894,11.9458,2.554,7.7434,0.140326,0.133383,18.251761,502,0.026406,159.561,0.009278,0
10,0.4267,816.42,743.0242,1324.22,-2.9827036488,2.397256,0.143705,12.3061,2.5204,7.5357,0.140421,0.135893,18.268108,525,0.024733,162.0136,0.009156,0
11,0.4693,850.09,795.6319,1324.22,-3.2025944344,2.357182,0.143846,12.6614,2.539,7.8025,0.14035,0.138255,18.283391,533,0.022938,180.2585,0.009156,0
12,0.512,882.68,843.4643,1324.22,-3.2647096825,2.32224,0.143747,13.0131,2.5161,7.6493,0.1404,0.140474,18.298024,539,0.021363,182.7644,0.009156,0
13,0.5547,912.56,884.0692,1335.94,-2.7820468147,2.291126,0.152704,12.8005,2.4629,7.2055,0.136025,0.142556,18.311747,540,0.019451,184.9681,0.009156,0
14,0.5973,945.55,935.7146,1335.94,-3.0410164711,2.263664,0.151591,13.1561,2.4843,7.445,0.136555,0.144513,18.324858,544,0.018772,203.21,0.009156,0
15,0.64,977.35,982.7744,1359.38,-3.0030706174,2.239057,0.151212,13.508,2.4761,7.3984,0.136735,0.146352,18.337234,572,0.017782,205.4761,0.009156,0
16,0.6827,1008.3,1029.2491,2191.41,-2.9420202807,2.21701,0.154414,13.5902,2.4776,7.4568,0.135219,0.148081,18.348987,565,0.016509,223.3546,0.009156,0
17,0.7253,1039.16,1075.8263,2191.41,-2.8707823034,2.197243,0.157692,13.6772,2.4778,7.475,0.133699,0.14971,18.360187,602,0.015687,225.671,0.009156,0
18,0.768,1067.64,1114.7557,2191.41,-2.4216447394,2.179222,0.160427,13.7691,2.4424,7.1643,0.132454,0.151246,18.370742,575,0.014896,227.7626,0.009156,0
19,0.8107,1101.65,1172.5037,2203.12,-2.9434701239,2.163115,0.154527,14.381,2.4959,7.6537,0.135166,0.152699,18.380904,602,0.014745,245.5536,0.009156,0
20,0.8533,1129.87,1211.8888,2203.12,-2.624329491,2.148182,0.161481,14.2194,2.4652,7.3718,0.13198,0.15407,18.390416,558,0.013351,247.6999,0.009278,0
21,0.896,1157.46,1250.0067,2203.12,-2.3319078251,2.134871,0.168023,14.0678,2.4346,7.0987,0.129105,0.155369,18.399645,594,0.01272,249.6597,0.009156,0
22,0.9387,1189.2,1303.068,2203.12,-2.6166350355,2.12238,0.165446,14.4239,2.4768,7.5016,0.130224,0.156602,18.408266,604,0.012717,267.507,0.009156,0
23,0.9813,1216.36,1341.0275,2203.12,-2.3485992051,2.11121,0.171754,14.2835,2.4503,7.2589,0.127515,0.157772,18.416642,539,0.011704,269.5224,0.009156,0
24,1.024,1247.37,1391.1884,2203.12,-2.5901138897,2.100704,0.169125,14.6399,2.4678,7.4037,0.128632,0.158886,18.424503,583,0.011793,287.2313,0.009156,0
25,1.0667,1274.0,1428.429,2203.12,-2.3481226489,2.091182,0.175108,14.5093,2.443,7.1765,0.126116,0.159945,18.432095,576,0.010827,289.2952,0.009156,0
26,1.1093,1303.39,1473.5464,2214.84,-2.4677367904,2.082307,0.17235,14.8654,2.4458,7.2045,0.127265,0.160957,18.439302,570,0.010987,291.2071,0.009156,0
27,1.152,1332.03,1518.9344,2214.84,-2.485341304,2.07408,0.173743,14.9814,2.4589,7.3338,0.126682,0.161922,18.446183,551,0.01034,308.9707,0.009156,0
28,1.1947,1357.8,1555.0732,2214.84,-2.2770506667,2.066553,0.179117,14.8633,2.4371,7.1343,0.124477,0.162844,18.452815,579,0.00971,310.9313,0.009156,0
29,1.2373,1387.05,1600.9891,3070.31,-2.4949344661,2.05937,0.175723,15.2195,2.4399,7.1443,0.125862,0.163727,18.45906,605,0.00991,312.7595,0.009156,0
30,1.28,1418.93,1654.2125,3070.31,-2.830661917,2.052942,0.169829,15.8044,2.4571,7.2696,0.128331,0.164574,18.465173,571,0.009975,330.5436,0.009156,0
31,1.3227,1447.47,1695.8259,3070.31,-2.9193704879,2.046648,0.168083,16.153,2.4352,7.0514,0.129079,0.165385,18.470866,565,0.009433,332.4198,0.009278,0
32,1.3653,1477.8,1745.3703,3070.31,-3.0732645597,2.041094,0.163375,16.7281,2.4517,7.1988,0.131136,0.166165,18.476495,532,0.009437,350.0335,0.009156,0
33,1.408,1505.6,1788.8971,3082.03,-3.0491766328,2.035586,0.1651,16.8438,2.4526,7.1932,0.130375,0.166913,18.481722,531,0.008666,351.9531,0.009156,0
34,1.4507,1532.88,1829.8286,3082.03,-3.0166889095,2.030711,0.166827,16.9606,2.4399,7.0548,0.129622,0.167632,18.486886,532,0.008442,353.7591,0.009156,0
35,1.4933,1560.59,1874.6546,3082.03,-3.0063783993,2.025917,0.16834,17.079,2.4524,7.1806,0.128969,0.168324,18.491722,570,0.008201,371.3479,0.009156,0
36,1.536,1587.76,1916.0306,3082.03,-2.9801916489,2.021558,0.169977,17.1981,2.443,7.0712,0.128268,0.168991,18.49644,577,0.008015,373.1965,0.009156,0
