frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,582.71,378.1818,1101.56,-2.692687246,2.321873,0.140873,10.9663,1.615,2.5707,0.141862,0.18033,18.885779,360,0.0,164.109,0.009278,0
1,0.0427,616.76,417.6837,1101.56,-3.0710275545,2.218467,0.141642,10.5578,1.4809,2.1204,0.141468,0.201055,19.266025,383,0.08586,198.2793,0.009278,0
2,0.0853,652.91,455.345,1101.56,-2.3723335645,2.10506,0.138578,10.2461,1.3729,1.7801,0.143051,0.22039,19.727727,340,0.089491,204.2834,0.009156,0
3,0.128,691.0,490.9729,1101.56,-1.9823045722,2.035866,0.135885,9.8095,1.2781,1.4896,0.144471,0.237677,20.264886,377,0.091891,209.3298,0.009034,0
4,0.1707,731.31,524.2354,1113.28,-2.0413321357,2.0118,0.13091,9.2605,1.1794,1.1665,0.147171,0.252459,20.888611,424,0.093212,213.6203,0.009156,0
5,0.2133,774.8,558.5835,1113.28,-1.9954322248,2.023478,0.122388,8.8418,1.1188,1.085,0.152043,0.264557,21.588959,424,0.093855,247.4509,0.010133,0
6,0.256,820.72,591.0561,1535.16,-1.5903109028,2.06154,0.123598,9.0914,1.0496,0.9245,0.151331,0.273974,22.35998,440,0.092915,252.5049,0.014772,0
7,0.2987,869.78,621.6254,1746.09,-1.9660776288,2.11929,0.128334,9.3593,0.9729,0.7312,0.14861,0.280901,23.194316,504,0.091557,256.9244,0.018557,0
8,0.3413,921.52,650.3495,1757.81,-1.6035241034,2.192751,0.13682,9.427,0.8962,0.5514,0.143975,0.285723,24.040877,553,0.088569,260.7818,0.018313,0
9,0.384,978.15,680.8395,1757.81,-1.9421271561,2.280153,0.132173,9.8774,0.8491,0.5382,0.146476,0.288934,24.855536,496,0.08523,293.0446,0.018191,0
10,0.4267,1037.86,707.6435,1757.81,-1.744843629,2.383722,0.139032,9.7764,0.7819,0.4204,0.142814,0.291176,25.536863,529,0.087747,297.467,0.018313,0
11,0.4693,1101.21,732.3105,1769.53,-0.9388456991,2.513682,0.143978,9.5915,0.7156,0.3192,0.140284,0.293216,25.966401,516,0.093901,301.1976,0.018313,0
12,0.512,1169.24,755.1286,1769.53,-0.9433653881,2.706927,0.135604,9.7387,0.6524,0.24,0.144622,0.296006,26.074474,482,0.099814,304.0008,0.018435,0
13,0.5547,1240.06,778.5679,1781.25,-1.669441993,3.138222,0.128416,9.6217,0.6195,0.2775,0.148564,0.30106,25.251282,516,0.100102,332.6578,0.018557,0
14,0.5973,1281.4,800.8094,2203.12,-1.5901971534,2.882178,0.128416,9.2054,0.6298,0.2764,0.148564,0.310835,25.335248,544,0.096687,340.0511,0.022708,0
15,0.64,1319.22,822.9104,2367.19,-1.822769044,2.793202,0.129523,8.8324,0.6338,0.2241,0.147942,0.321912,24.684798,569,0.108645,345.8233,0.027225,0
16,0.6827,1360.97,845.6612,2414.06,-1.8619286651,2.773311,0.129514,9.148,0.6338,0.1863,0.147947,0.33175,23.978994,564,0.110244,350.5427,0.027591,0
17,0.7253,1407.21,868.4646,2414.06,-1.6247614048,2.760787,0.137991,9.0324,0.6226,0.1244,0.143358,0.339281,23.289052,556,0.109076,354.5994,0.027347,0
18,0.768,1459.13,892.3014,2414.06,-1.4278347074,2.738627,0.13765,9.2067,0.6122,0.0995,0.143538,0.344088,22.652845,563,0.107385,386.3424,0.027469,0
19,0.8107,1516.18,914.6092,2425.78,-1.0189758269,2.707771,0.140881,9.1857,0.5864,0.0319,0.141858,0.346233,22.088174,527,0.108321,390.6055,0.027713,0
20,0.8533,1580.82,938.4582,2425.78,-1.8574514765,2.676788,0.13972,9.2736,0.5652,0.0053,0.142457,0.346159,21.605073,570,0.112512,394.265,0.027469,0
21,0.896,1652.02,960.3923,2437.5,-2.1311613162,2.65642,0.1351,9.4502,0.5356,-0.0316,0.144891,0.344643,21.205705,595,0.114761,397.2292,0.027713,0
22,0.9387,1729.37,979.3588,2859.38,-1.0447900225,2.663686,0.133575,9.4065,0.4966,-0.0828,0.145712,0.342787,20.889136,590,0.115492,399.2241,0.032353,0
23,0.9813,1814.85,997.7855,2871.09,-1.4864915456,2.752756,0.130162,9.2738,0.4703,-0.0614,0.147586,0.342159,20.654157,580,0.113704,426.6993,0.036503,0
24,1.024,1878.79,1019.2763,3070.31,-0.9189736016,2.795845,0.132598,8.6504,0.4414,-0.0889,0.146244,0.345866,20.498157,555,0.082581,428.3435,0.036503,0
25,1.0667,1898.47,1052.9278,3070.31,-0.9027491943,2.517256,0.128959,8.6406,0.4229,-0.1508,0.148258,0.354697,20.418928,557,0.112839,437.7613,0.036748,0
26,1.1093,1922.73,1086.0973,3082.03,-1.1442170565,2.370276,0.128241,8.684,0.4039,-0.2106,0.148662,0.364207,20.414313,565,0.117761,443.5691,0.036748,0
27,1.152,1954.17,1118.6991,3082.03,-0.9603079919,2.263299,0.129472,8.602,0.3813,-0.2684,0.147971,0.372416,20.481683,550,0.119538,448.1727,0.036748,0
28,1.1947,1994.01,1152.0903,3082.03,-1.0719831906,2.176383,0.126105,8.6713,0.3612,-0.2953,0.149878,0.378339,20.618708,558,0.125532,479.265,0.036626,0
29,1.2373,2041.62,1184.8368,3093.75,-0.9131850542,2.10293,0.129504,8.4516,0.3331,-0.3311,0.147953,0.381585,20.823647,542,0.129667,483.483,0.037236,0
30,1.28,2098.11,1216.3953,3503.91,-1.0591369461,2.040742,0.130014,8.3154,0.2961,-0.3735,0.147669,0.382244,21.09058,540,0.132026,486.9774,0.041997,0
31,1.3227,2163.66,1246.9061,3527.34,-1.0377064577,1.989975,0.133708,8.496,0.251,-0.4152,0.145641,0.380843,21.417516,506,0.132826,489.6203,0.045782,0
32,1.3653,2239.57,1276.0932,3726.56,-1.1165770348,1.953126,0.133426,8.8882,0.2008,-0.4376,0.145793,0.378349,21.795602,480,0.131846,490.9744,0.045904,0
