segnale,min,max,mean,std,median
01_sinusoide_440,0,0,0,0,0
02_noise_bianco,0,0,0,0,0
03_tanh_drive1,0,0,0,0,0
04_tanh_drive5,0,0,0,0,0
05_tanh_drive20,0,0,0,0,0
06_noise_bp_q500,0,0,0,0,0
07_noise_bp_q200,0,0,0,0,0
08_noise_bp_q50,0,0,0,0,0
09_impulsi_100,0,0,0,0,0
10_fm_idx05,0,0,0,0,0
11_fm_idx3,0,0,0,0,0
12_fm_idx10,0,0,0,0,0
13_sin100,0,0,0,0,0
14_sin75_noise25,0,0,0,0,0
15_sin50_noise50,0,0,0,0,0
16_sin25_noise75,0,0,0,0,0
17_noise100,0,0,0,0,0
18_sin_crescendo,0,0,0,0,0
19_sin_diminuendo,0,0,0,0,0
20_sin_crescdim,0,0,0,0,0
21_noise_crescendo,0,0,0,0,0
22_noise_diminuendo,0,0,0,0,0
23_noise_crescdim,0,0,0,0,0
24_bin_esatto_40,0,0,0,0,0
25_fuori_bin_40,0,0,0,0,0
26_bin_esatto_80,0,0,0,0,0
27_fuori_bin_80,0,0,0,0,0
28_gliss_lento_200_2000,0,0,0,0,0
29_gliss_veloce_200_2000,0,0,0,0,0
30_gliss_lento_2000_200,0,0,0,0,0
31_gliss_micro_440_460,0,0,0,0,0
32_2sin_200_4000,0,0,0,0,0
33_2sin_400_1000,0,0,0,0,0
34_2sin_100_8000,0,0,0,0,0
35_2sin_200cresc_4000dim,0,0,0,0,0
36_2sin_200dim_4000cresc,0,0,0,0,0
37_2sin_convergono_1000,0,0,0,0,0
38_2sin_divergono_1000,0,0,0,0,0
39_2sin_convergono_unisono,0,0,0,0,0
40_tanh_drive_cresc,0,0,0,0,0
41_tanh_drive_decresc,0,0,0,0,0
42_fm_idx_cresc,0,0,0,0,0
43_fm_idx_decresc,0,0,0,0,0
44_tanh_drive_cresc_veloce,0,0,0,0,0
45_fm_idx_cresc_veloce,0,0,0,0,0
