segnale,min,max,mean,std,median
01_sinusoide_440,440.07,440.07,440.07,5.68434e-14,440.07
02_noise_bianco,23549.9,24272.6,23969.2,141.805,23962.8
03_tanh_drive1,481.22,481.22,481.22,1.7053e-13,481.22
04_tanh_drive5,938.1,938.1,938.1,4.54747e-13,938.1
05_tanh_drive20,2445.38,2445.38,2445.38,4.54747e-13,2445.38
06_noise_bp_q500,6698.88,7421.78,7023.45,170.07,7006.01
07_noise_bp_q200,5232.44,6441.1,5840.03,241.096,5829.54
08_noise_bp_q50,3006.63,5293.59,4272.63,479.589,4309.75
09_impulsi_100,24000,24000,24000,0,24000
10_fm_idx05,548.89,548.91,548.901,0.00868254,548.9
11_fm_idx3,1432.96,1433.18,1433.03,0.081291,1432.98
12_fm_idx10,4308.41,4308.59,4308.46,0.0617055,4308.44
13_sin100,440.07,440.07,440.07,5.68434e-14,440.07
14_sin75_noise25,20713.3,21485.7,21095.1,149.425,21099.5
15_sin50_noise50,22610.8,23278,22982.8,143.48,23001.1
16_sin25_noise75,23349.8,24025.2,23670.9,146.968,23658.2
17_noise100,23660.2,24361.6,24005.6,147.525,23994.3
18_sin_crescendo,440.05,448.59,440.161,0.808157,440.07
19_sin_diminuendo,440.05,445.38,440.131,0.51878,440.07
20_sin_crescdim,440.05,448.59,440.222,0.954535,440.07
21_noise_crescendo,23525.5,24305.3,23991.6,150.881,23986
22_noise_diminuendo,23554.3,24491.2,23981.1,166.286,23980.8
23_noise_crescdim,23552.1,24471.7,24021.4,173.58,24021.4
24_bin_esatto_40,468.75,468.75,468.75,0,468.75
25_fuori_bin_40,474.61,474.61,474.61,5.68434e-14,474.61
26_bin_esatto_80,937.5,937.5,937.5,0,937.5
27_fuori_bin_80,943.36,943.36,943.36,2.27374e-13,943.36
28_gliss_lento_200_2000,207.83,1989.6,1098.5,516.562,1098.72
29_gliss_veloce_200_2000,225.36,1966.23,1095.8,509.864,1095.8
30_gliss_lento_2000_200,210.66,1992.36,1101.5,516.561,1101.51
31_gliss_micro_440_460,440.16,459.61,450.008,5.68703,449.84
32_2sin_200_4000,2134.13,2134.13,2134.13,9.09495e-13,2134.13
33_2sin_400_1000,703.31,703.31,703.31,2.27374e-13,703.31
34_2sin_100_8000,4036.26,4040.55,4038.49,1.50447,4038.89
35_2sin_200cresc_4000dim,231.7,3979.63,2127.86,1089.77,2139.34
36_2sin_200dim_4000cresc,220.15,3970.04,2117.44,1090,2128.89
37_2sin_convergono_1000,1005.1,2103.75,1548.26,314.724,1547.39
38_2sin_divergono_1000,1002.84,2105.31,1546.47,314.739,1545.62
39_2sin_convergono_unisono,397.92,401.89,400.038,0.762306,400.105
40_tanh_drive_cresc,488.63,2432.46,1509.29,569.693,1535.41
41_tanh_drive_decresc,491.18,2434.89,1512.55,569.481,1538.32
42_fm_idx_cresc,558.16,4279.65,2355.91,1083.73,2396.39
43_fm_idx_decresc,562.09,4287.28,2362.19,1084.11,2402.11
44_tanh_drive_cresc_veloce,505.68,2413.61,1507.35,562.562,1532.88
45_fm_idx_cresc_veloce,582.71,4214.55,2347.47,1067.96,2387.77
