segnale,min,max,mean,std,median
01_sinusoide_440,5.7879,5.7879,5.7879,0,5.7879
02_noise_bianco,2.9738,4.1243,3.34855,0.233551,3.3298
03_tanh_drive1,8.2928,8.2928,8.2928,1.77636e-15,8.2928
04_tanh_drive5,12.9184,12.9184,12.9184,0,12.9184
05_tanh_drive20,21.5842,21.5843,21.5843,4.90925e-05,21.5843
06_noise_bp_q500,26.6513,51.8027,36.0435,4.99269,35.1473
07_noise_bp_q200,39.2241,78.4933,58.4052,7.85236,58.1596
08_noise_bp_q50,69.5031,124.209,91.6913,11.8782,90.5983
09_impulsi_100,4.025,4.1201,4.08209,0.0369188,4.1093
10_fm_idx05,10.5374,10.5383,10.5378,0.000341806,10.5378
11_fm_idx3,9.0609,9.2198,9.17794,0.0611506,9.2196
12_fm_idx10,8.7426,8.8113,8.75791,0.0208,8.7429
13_sin100,5.7879,5.7879,5.7879,0,5.7879
14_sin75_noise25,199.677,206.637,203.387,1.40417,203.49
15_sin50_noise50,74.2854,78.9661,76.6095,0.838808,76.6101
16_sin25_noise75,24.3504,28.3689,26.3982,0.856433,26.4551
17_noise100,2.8807,4.1601,3.33428,0.221751,3.31655
18_sin_crescendo,5.7386,8.4864,5.82261,0.284706,5.7878
19_sin_diminuendo,5.7445,7.8601,5.81753,0.237164,5.7878
20_sin_crescdim,5.7386,8.4864,5.85226,0.367758,5.7874
21_noise_crescendo,2.9518,4.2877,3.41006,0.254674,3.4006
22_noise_diminuendo,2.9527,4.1189,3.39389,0.231152,3.3599
23_noise_crescdim,2.9211,4.2996,3.34291,0.238263,3.29565
24_bin_esatto_40,1.4999,1.4999,1.4999,2.22045e-16,1.4999
25_fuori_bin_40,5.6167,5.6167,5.6167,8.88178e-16,5.6167
26_bin_esatto_80,1.4999,1.4999,1.4999,2.22045e-16,1.4999
27_fuori_bin_80,5.6167,5.6167,5.6167,8.88178e-16,5.6167
28_gliss_lento_200_2000,4.9375,6.0017,5.44757,0.341531,5.5457
29_gliss_veloce_200_2000,4.8052,5.2802,5.05232,0.120109,5.0358
30_gliss_lento_2000_200,4.9383,5.9943,5.43877,0.336437,5.5303
31_gliss_micro_440_460,1.4999,6.2193,5.122,1.03031,5.5541
32_2sin_200_4000,5.3112,5.3112,5.3112,0,5.3112
33_2sin_400_1000,5.7094,5.7095,5.70941,2.38125e-05,5.7094
34_2sin_100_8000,5.9566,6.6118,6.27673,0.233626,6.1756
35_2sin_200cresc_4000dim,5.2098,7.7128,6.46633,0.62723,6.58945
36_2sin_200dim_4000cresc,5.2395,7.6904,6.46338,0.620272,6.5818
37_2sin_convergono_1000,3.7499,6.072,5.49778,0.45699,5.65895
38_2sin_divergono_1000,3.4069,6.4801,5.49339,0.472614,5.6302
39_2sin_convergono_unisono,2.8721,6.8143,4.71708,0.842423,4.6447
40_tanh_drive_cresc,8.7494,21.605,16.5593,3.72328,16.9495
41_tanh_drive_decresc,8.79,21.5974,16.5764,3.72205,16.937
42_fm_idx_cresc,8.1825,11.054,8.94832,0.524355,8.8082
43_fm_idx_decresc,8.1814,10.8949,8.94979,0.515336,8.8161
44_tanh_drive_cresc_veloce,8.828,21.5989,16.5792,3.66817,16.9606
45_fm_idx_cresc_veloce,8.3154,10.9663,9.02071,0.500957,8.9237
