segnale,min,max,mean,std,median
01_sinusoide_440,0.026648,0.026648,0.026648,6.93889e-18,0.026648
02_noise_bianco,-0.019681,0.009468,0.00137288,0.00529627,0.002524
03_tanh_drive1,0.025845,0.025845,0.025845,0,0.025845
04_tanh_drive5,0.020335,0.020335,0.020335,3.46945e-18,0.020335
05_tanh_drive20,0.015878,0.015878,0.015878,3.46945e-18,0.015878
06_noise_bp_q500,0.007831,0.008996,0.00844631,0.00023153,0.0084515
07_noise_bp_q200,0.008347,0.009656,0.0091018,0.000254199,0.00913
08_noise_bp_q50,0.009007,0.010253,0.00966622,0.000224219,0.0096705
09_impulsi_100,-0.02693,-0.026815,-0.0268714,4.21759e-05,-0.02688
10_fm_idx05,0.027685,0.027686,0.0276855,5e-07,0.0276855
11_fm_idx3,0.015079,0.015084,0.0150822,1.75784e-06,0.015083
12_fm_idx10,0.005457,0.005457,0.005457,2.60209e-18,0.005457
13_sin100,0.026648,0.026648,0.026648,6.93889e-18,0.026648
14_sin75_noise25,0.002502,0.017052,0.0116135,0.00360112,0.0121975
15_sin50_noise50,-0.013934,0.014049,0.00529524,0.00454782,0.0056715
16_sin25_noise75,-0.011424,0.011645,0.00286171,0.00474483,0.0035205
17_noise100,-0.016752,0.009112,0.000104569,0.00563331,0.001489
18_sin_crescendo,0.026547,0.026649,0.0266469,9.79906e-06,0.026648
19_sin_diminuendo,0.026579,0.026649,0.0266472,6.93517e-06,0.026648
20_sin_crescdim,0.026547,0.026649,0.026646,1.1924e-05,0.026648
21_noise_crescendo,-0.015676,0.009283,0.000699698,0.0059661,0.00189
22_noise_diminuendo,-0.01822,0.009416,0.00153461,0.00488934,0.002717
23_noise_crescdim,-0.015069,0.010885,0.00121922,0.00505251,0.001776
24_bin_esatto_40,0.025008,0.025008,0.025008,3.46945e-18,0.025008
25_fuori_bin_40,0.024706,0.024706,0.024706,6.93889e-18,0.024706
26_bin_esatto_80,0.012501,0.012501,0.012501,6.93889e-18,0.012501
27_fuori_bin_80,0.012424,0.012424,0.012424,1.73472e-18,0.012424
28_gliss_lento_200_2000,0.00589,0.05657,0.0149446,0.0107488,0.010667
29_gliss_veloce_200_2000,0.00596,0.052292,0.0148172,0.0103898,0.010697
30_gliss_lento_2000_200,0.005882,0.05578,0.0148585,0.0106143,0.01064
31_gliss_micro_440_460,0.02551,0.026642,0.0260589,0.000330233,0.026068
32_2sin_200_4000,0.03034,0.03034,0.03034,1.04083e-17,0.03034
33_2sin_400_1000,0.020423,0.020423,0.020423,3.46945e-18,0.020423
34_2sin_100_8000,0.058906,0.06064,0.0600139,0.000646595,0.060352
35_2sin_200cresc_4000dim,0.003226,0.05829,0.0304314,0.0160114,0.030263
36_2sin_200dim_4000cresc,0.003367,0.05846,0.0305845,0.0160147,0.0304165
37_2sin_convergono_1000,0.010697,0.057825,0.0174122,0.00989219,0.012819
38_2sin_divergono_1000,0.010691,0.05667,0.017335,0.00975367,0.0127755
39_2sin_convergono_unisono,0.029299,0.031262,0.0299519,0.0005754,0.029769
40_tanh_drive_cresc,0.015887,0.02571,0.0184171,0.00258282,0.017415
41_tanh_drive_decresc,0.015884,0.025663,0.0184006,0.00256744,0.017405
42_fm_idx_cresc,0.005639,0.027669,0.0125362,0.00649386,0.010151
43_fm_idx_decresc,0.00559,0.027654,0.012499,0.00647035,0.010087
44_tanh_drive_cresc_veloce,0.015907,0.025398,0.0183986,0.00253298,0.017423
45_fm_idx_cresc_veloce,0.00597,0.027546,0.0125259,0.00640764,0.010285
