segnale,min,max,mean,std,median
01_sinusoide_440,0.103856,0.103856,0.103856,2.77556e-17,0.103856
02_noise_bianco,0.946009,0.951575,0.949284,0.00110051,0.949306
03_tanh_drive1,0.105684,0.105684,0.105684,1.38778e-17,0.105684
04_tanh_drive5,0.144145,0.144145,0.144145,5.55112e-17,0.144145
05_tanh_drive20,0.182674,0.182674,0.182674,5.55112e-17,0.182674
06_noise_bp_q500,0.569552,0.653443,0.610912,0.014746,0.610429
07_noise_bp_q200,0.438412,0.581625,0.508951,0.02465,0.508535
08_noise_bp_q50,0.237234,0.44139,0.373291,0.0418243,0.377364
09_impulsi_100,0.846312,0.846565,0.846434,9.28104e-05,0.846415
10_fm_idx05,0.158956,0.158961,0.158959,1.97176e-06,0.158959
11_fm_idx3,0.341847,0.341849,0.341848,8.02975e-07,0.341849
12_fm_idx10,0.44419,0.444191,0.44419,4.99703e-07,0.44419
13_sin100,0.103856,0.103856,0.103856,2.77556e-17,0.103856
14_sin75_noise25,0.160694,0.16449,0.162268,0.000775025,0.162185
15_sin50_noise50,0.409263,0.433183,0.421976,0.00437353,0.421955
16_sin25_noise75,0.813216,0.849423,0.831154,0.00776447,0.831263
17_noise100,0.945705,0.951717,0.949113,0.00122278,0.949101
18_sin_crescendo,0.103857,0.114809,0.104021,0.00105791,0.10386
19_sin_diminuendo,0.103857,0.111818,0.103987,0.000780918,0.10386
20_sin_crescdim,0.10386,0.114809,0.104151,0.00129862,0.103873
21_noise_crescendo,0.946418,0.952251,0.949098,0.00114401,0.949119
22_noise_diminuendo,0.945786,0.951712,0.949011,0.00103673,0.94907
23_noise_crescdim,0.946248,0.95248,0.949165,0.00108457,0.949209
24_bin_esatto_40,0.104313,0.104313,0.104313,1.38778e-17,0.104313
25_fuori_bin_40,0.103842,0.103842,0.103842,1.38778e-17,0.103842
26_bin_esatto_80,0.104313,0.104313,0.104313,1.38778e-17,0.104313
27_fuori_bin_80,0.103842,0.103842,0.103842,1.38778e-17,0.103842
28_gliss_lento_200_2000,0.109813,0.110553,0.110179,0.000260593,0.110182
29_gliss_veloce_200_2000,0.149479,0.149625,0.149554,5.13381e-05,0.149552
30_gliss_lento_2000_200,0.109813,0.110553,0.110181,0.000261853,0.11018
31_gliss_micro_440_460,0.103842,0.104341,0.104161,0.000176214,0.104226
32_2sin_200_4000,0.187503,0.187504,0.187503,4.46948e-07,0.187503
33_2sin_400_1000,0.187495,0.187495,0.187495,2.77556e-17,0.187495
34_2sin_100_8000,0.187256,0.187264,0.18726,2.92244e-06,0.18726
35_2sin_200cresc_4000dim,0.10405,0.187504,0.145026,0.0290248,0.143763
36_2sin_200dim_4000cresc,0.104095,0.187502,0.145027,0.0290235,0.143763
37_2sin_convergono_1000,0.163066,0.192161,0.191381,0.00163254,0.1915
38_2sin_divergono_1000,0.141243,0.19314,0.191297,0.0029103,0.191503
39_2sin_convergono_unisono,0.104361,0.189772,0.181286,0.0174531,0.187424
40_tanh_drive_cresc,0.106225,0.182565,0.160373,0.0208119,0.167707
41_tanh_drive_decresc,0.106421,0.182596,0.160501,0.0207124,0.167789
42_fm_idx_cresc,0.165281,0.451446,0.368621,0.0674652,0.381836
43_fm_idx_decresc,0.167766,0.451423,0.369092,0.0670084,0.38193
44_tanh_drive_cresc_veloce,0.108021,0.182326,0.160489,0.0204434,0.167632
45_fm_idx_cresc_veloce,0.18033,0.451505,0.369342,0.0660064,0.382151
