segnale,min,max,mean,std,median
01_sinusoide_440,0.103618,0.103628,0.103623,3.58217e-06,0.103623
02_noise_bianco,0.836888,0.85349,0.845562,0.00350882,0.845934
03_tanh_drive1,0.110361,0.110372,0.110367,4.01538e-06,0.110367
04_tanh_drive5,0.154618,0.154623,0.154621,1.80424e-06,0.154621
05_tanh_drive20,0.199721,0.199723,0.199722,5.88989e-07,0.199722
06_noise_bp_q500,0.331862,0.382427,0.353798,0.00927855,0.352578
07_noise_bp_q200,0.316033,0.371391,0.342531,0.0115463,0.341668
08_noise_bp_q50,0.309522,0.390315,0.341113,0.0158424,0.339535
09_impulsi_100,0.17287,0.185092,0.178354,0.00473147,0.175962
10_fm_idx05,0.149834,0.15025,0.150046,0.000151385,0.150058
11_fm_idx3,0.134556,0.138692,0.135652,0.00157716,0.134594
12_fm_idx10,0.136039,0.137934,0.137482,0.000574298,0.137879
13_sin100,0.103618,0.103628,0.103623,3.58217e-06,0.103623
14_sin75_noise25,0.773142,0.783734,0.779039,0.0023247,0.779093
15_sin50_noise50,0.812291,0.828301,0.8199,0.00346394,0.819622
16_sin25_noise75,0.829175,0.846195,0.83717,0.00341729,0.836306
17_noise100,0.836211,0.853491,0.845451,0.00379026,0.845692
18_sin_crescendo,0.067106,0.103709,0.103045,0.00440033,0.103624
19_sin_diminuendo,0.070526,0.103699,0.103061,0.004259,0.103624
20_sin_crescdim,0.067106,0.103709,0.102474,0.0060693,0.103625
21_noise_crescendo,0.836932,0.855555,0.845244,0.00400605,0.845486
22_noise_diminuendo,0.838336,0.853068,0.844768,0.00354379,0.844204
23_noise_crescdim,0.83511,0.853882,0.845463,0.00375198,0.84552
24_bin_esatto_40,0.94497,0.94497,0.94497,2.22045e-16,0.94497
25_fuori_bin_40,0.10446,0.104467,0.104464,3.5e-06,0.104464
26_bin_esatto_80,0.94497,0.94497,0.94497,2.22045e-16,0.94497
27_fuori_bin_80,0.104464,0.104464,0.104464,1.38778e-17,0.104464
28_gliss_lento_200_2000,0.103895,0.141062,0.118488,0.0086098,0.116575
29_gliss_veloce_200_2000,0.145101,0.169158,0.156525,0.00776207,0.154159
30_gliss_lento_2000_200,0.104256,0.140913,0.118738,0.00846377,0.116599
31_gliss_micro_440_460,0.083729,0.944968,0.111284,0.0796855,0.100856
32_2sin_200_4000,0.095246,0.095261,0.0952537,5.31395e-06,0.095254
33_2sin_400_1000,0.096627,0.096649,0.0966375,7.72754e-06,0.09664
34_2sin_100_8000,0.089321,0.10425,0.0966078,0.00516539,0.09797
35_2sin_200cresc_4000dim,0.069553,0.128726,0.10937,0.00994314,0.108469
36_2sin_200dim_4000cresc,0.071483,0.129476,0.109245,0.0101402,0.108467
37_2sin_convergono_1000,0.100865,0.19446,0.114948,0.010059,0.112557
38_2sin_divergono_1000,0.09354,0.185094,0.115232,0.0103534,0.112452
39_2sin_convergono_unisono,0.085097,0.204161,0.119614,0.0208891,0.114958
40_tanh_drive_cresc,0.102441,0.200959,0.166144,0.0207015,0.169258
41_tanh_drive_decresc,0.104779,0.201253,0.16638,0.0204887,0.169408
42_fm_idx_cresc,0.118202,0.158075,0.134369,0.00546985,0.134553
43_fm_idx_decresc,0.117909,0.153847,0.134224,0.00542898,0.134263
44_tanh_drive_cresc_veloce,0.115846,0.198668,0.165972,0.0201778,0.169125
45_fm_idx_cresc_veloce,0.122388,0.144182,0.134644,0.00496703,0.1351
