segnale,min,max,mean,std,median
01_sinusoide_440,0,4e-06,2.59483e-06,1.34535e-06,3e-06
02_noise_bianco,0,5.35016,5.11236,0.481613,5.1578
03_tanh_drive1,0,5e-06,3.18103e-06,1.62735e-06,4e-06
04_tanh_drive5,0,1.3e-05,7.92241e-06,3.98305e-06,9e-06
05_tanh_drive20,0,1.4e-05,8.87069e-06,4.45384e-06,1e-05
06_noise_bp_q500,0,2.27373,2.03559,0.205519,2.0468
07_noise_bp_q200,0,1.74368,1.52778,0.168647,1.54927
08_noise_bp_q50,0,1.3305,1.02812,0.144899,1.03225
09_impulsi_100,0,0.002561,0.00163042,0.000836804,0.001875
10_fm_idx05,0,0.000207,0.000128379,6.38307e-05,0.000142
11_fm_idx3,0,0.000597,0.000352233,0.000187648,0.000403
12_fm_idx10,0,0.000574,0.000340121,0.000182451,0.000376
13_sin100,0,4e-06,2.59483e-06,1.34535e-06,3e-06
14_sin75_noise25,0,1.37908,1.31323,0.123676,1.3237
15_sin50_noise50,0,2.65472,2.55662,0.240377,2.57952
16_sin25_noise75,0,3.98856,3.83893,0.360865,3.87826
17_noise100,0,5.29966,5.10837,0.48108,5.15617
18_sin_crescendo,0,0.003609,0.00357544,0.000333659,0.003609
19_sin_diminuendo,0,0.003609,0.00357575,0.000333607,0.003609
20_sin_crescdim,0,0.007384,0.00710143,0.000835155,0.007217
21_noise_crescendo,0,5.12694,2.55207,1.46695,2.57107
22_noise_diminuendo,0,5.16,2.56865,1.47912,2.54737
23_noise_crescdim,0,5.12961,2.59925,1.46235,2.56386
24_bin_esatto_40,0,0,0,0,0
25_fuori_bin_40,0,3e-06,2.97414e-06,2.7734e-07,3e-06
26_bin_esatto_80,0,0,0,0,0
27_fuori_bin_80,0,0,0,0,0
28_gliss_lento_200_2000,0,0.273111,0.252349,0.0233797,0.256966
29_gliss_veloce_200_2000,0,0.664303,0.63906,0.0787978,0.652967
30_gliss_lento_2000_200,0,0.273102,0.252375,0.0233122,0.256665
31_gliss_micro_440_460,0,0.003415,0.00312513,0.000258037,0.00318
32_2sin_200_4000,0,1e-06,3.96552e-07,4.89181e-07,0
33_2sin_400_1000,0,7e-06,4.2931e-06,2.37086e-06,4e-06
34_2sin_100_8000,0,0.000562,0.000328543,0.000200487,0.000396
35_2sin_200cresc_4000dim,0,0.004564,0.00438199,0.000325192,0.0044
36_2sin_200dim_4000cresc,0,0.004564,0.00438268,0.000325136,0.0044
37_2sin_convergono_1000,0,0.198458,0.183757,0.0139539,0.185204
38_2sin_divergono_1000,0,0.199022,0.183628,0.0143479,0.185191
39_2sin_convergono_unisono,0,0.257339,0.0215716,0.0365646,0.0109155
40_tanh_drive_cresc,0,0.024339,0.00431143,0.00449369,0.002519
41_tanh_drive_decresc,0,0.02394,0.00427221,0.00441707,0.002518
42_fm_idx_cresc,0,0.051786,0.0389874,0.00833234,0.039832
43_fm_idx_decresc,0,0.051827,0.038984,0.00833385,0.039566
44_tanh_drive_cresc_veloce,0,0.069805,0.0136881,0.0135621,0.008442
45_fm_idx_cresc_veloce,0,0.170582,0.124557,0.0292781,0.127298
