segnale,min,max,mean,std,median
01_sinusoide_440,28.7485,28.7485,28.7485,0,28.7485
02_noise_bianco,2184.38,2363.93,2276.63,37.0663,2276.1
03_tanh_drive1,67.6155,67.6157,67.6156,7.4458e-05,67.6156
04_tanh_drive5,202.735,202.735,202.735,5.68434e-14,202.735
05_tanh_drive20,598.225,598.225,598.225,4.99926e-05,598.225
06_noise_bp_q500,3094.28,4313.41,3607.33,231.628,3624.23
07_noise_bp_q200,3685.51,5457.26,4594.24,349.822,4563.87
08_noise_bp_q50,4149.91,5788.8,5052.39,290.946,5068.43
09_impulsi_100,5529.91,6063.69,5690.62,167.752,5657.1
10_fm_idx05,158.555,158.556,158.556,0.00049443,158.556
11_fm_idx3,383.987,383.988,383.988,0.000209841,383.988
12_fm_idx10,799.99,799.994,799.992,0.00143531,799.992
13_sin100,28.7485,28.7485,28.7485,0,28.7485
14_sin75_noise25,4115.7,4994.22,4546.31,167.086,4548.95
15_sin50_noise50,2346.07,2745.14,2548.97,74.022,2553.64
16_sin25_noise75,2197.45,2435.94,2306.98,44.1791,2305.58
17_noise100,2190.95,2396.62,2283.03,40.4557,2284.01
18_sin_crescendo,21.417,45.3877,27.1347,2.4687,27.4259
19_sin_diminuendo,21.5479,45.7498,27.1528,2.48544,27.4326
20_sin_crescdim,22.8033,52.6812,27.6887,3.92329,27.513
21_noise_crescendo,2180.83,2387.11,2285.6,43.0997,2291.86
22_noise_diminuendo,2165.88,2373.92,2287.43,39.8664,2291.99
23_noise_crescdim,2153.35,2373.22,2280.66,42.8665,2279.27
24_bin_esatto_40,29.0171,29.0171,29.0171,1.42109e-14,29.0171
25_fuori_bin_40,28.6894,28.6894,28.6894,3.55271e-15,28.6894
26_bin_esatto_80,29.0171,29.0171,29.0171,1.42109e-14,29.0171
27_fuori_bin_80,28.6894,28.6894,28.6894,3.55271e-15,28.6894
28_gliss_lento_200_2000,28.6749,28.9918,28.8863,0.0946319,28.9146
29_gliss_veloce_200_2000,28.5291,28.7538,28.6748,0.0686113,28.6963
30_gliss_lento_2000_200,28.6758,28.9918,28.8864,0.0952223,28.9139
31_gliss_micro_440_460,28.69,29.0171,28.9261,0.0900851,28.9583
32_2sin_200_4000,55.1115,55.1115,55.1115,1.42109e-14,55.1115
33_2sin_400_1000,55.0943,55.0943,55.0943,2.13163e-14,55.0943
34_2sin_100_8000,47.8968,54.8324,53.0445,3.02704,54.8323
35_2sin_200cresc_4000dim,47.391,55.1115,53.9574,1.47023,54.5467
36_2sin_200dim_4000cresc,47.4096,55.1115,53.9575,1.46989,54.5467
37_2sin_convergono_1000,27.7335,55.2254,54.3789,3.60969,55.0147
38_2sin_divergono_1000,27.7711,55.2262,54.2261,3.97564,55.0144
39_2sin_convergono_unisono,25.1059,55.2156,41.0924,9.83168,38.7918
40_tanh_drive_cresc,68.7678,581.782,346.068,148.545,353.94
41_tanh_drive_decresc,69.1847,581.938,346.971,148.583,354.144
42_fm_idx_cresc,160.358,795.612,508.003,179.693,522.877
43_fm_idx_decresc,161.022,795.468,509.169,179.189,523.79
44_tanh_drive_cresc_veloce,71.083,580.559,346.193,146.842,353.759
45_fm_idx_cresc_veloce,164.109,794.989,507.285,176.411,522.014
