segnale,min,max,mean,std,median
01_sinusoide_440,5.496,5.4967,5.49633,0.00025329,5.4963
02_noise_bianco,-1.2331,-1.1687,-1.20043,0.0134353,-1.201
03_tanh_drive1,23.9119,23.9123,23.9121,0.000148646,23.9121
04_tanh_drive5,7.368,7.368,7.368,8.88178e-16,7.368
05_tanh_drive20,7.1031,7.1031,7.1031,0,7.1031
06_noise_bp_q500,2.5967,3.3863,2.98697,0.17078,3.0017
07_noise_bp_q200,3.336,4.8522,3.98822,0.262562,3.97155
08_noise_bp_q50,4.3995,8.0487,5.75013,0.752564,5.61985
09_impulsi_100,-1.2,-1.2,-1.2,4.44089e-16,-1.2
10_fm_idx05,3.342,3.3427,3.34233,0.000246912,3.3423
11_fm_idx3,0.1325,0.133,0.132717,0.000173342,0.1327
12_fm_idx10,-0.9188,-0.9187,-0.918783,3.7774e-05,-0.9188
13_sin100,5.496,5.4967,5.49633,0.00025329,5.4963
14_sin75_noise25,-1.3187,-1.2523,-1.2888,0.0121734,-1.2905
15_sin50_noise50,-1.2557,-1.1917,-1.22483,0.0121802,-1.2257
16_sin25_noise75,-1.2389,-1.1684,-1.20491,0.0121925,-1.2047
17_noise100,-1.2374,-1.1701,-1.20064,0.0126163,-1.1997
18_sin_crescendo,5.2877,688.45,14.2062,69.8086,5.4957
19_sin_diminuendo,5.3121,748.954,16.2977,83.0194,5.4957
20_sin_crescdim,5.2877,748.954,25.0071,107.598,5.49415
21_noise_crescendo,-1.235,-1.1664,-1.19774,0.0126819,-1.19815
22_noise_diminuendo,-1.2305,-1.1733,-1.19994,0.0134443,-1.2005
23_noise_crescdim,-1.2328,-1.1618,-1.19832,0.0135581,-1.1994
24_bin_esatto_40,-1.0002,-1.0002,-1.0002,0,-1.0002
25_fuori_bin_40,5.4953,5.4957,5.4955,0.0002,5.4955
26_bin_esatto_80,-1.0002,-1.0002,-1.0002,0,-1.0002
27_fuori_bin_80,5.4955,5.4955,5.4955,8.88178e-16,5.4955
28_gliss_lento_200_2000,1.7709,4.4703,3.30876,1.05763,3.5088
29_gliss_veloce_200_2000,1.7203,2.2015,1.99397,0.189471,2.0663
30_gliss_lento_2000_200,1.7709,4.4703,3.29408,1.05719,3.5128
31_gliss_micro_440_460,-1.0002,5.497,3.10779,2.17997,3.7089
32_2sin_200_4000,-1.9986,-1.9986,-1.9986,4.44089e-16,-1.9986
33_2sin_400_1000,-1.9947,-1.9947,-1.9947,4.44089e-16,-1.9947
34_2sin_100_8000,-1.9999,-1.9999,-1.9999,2.22045e-16,-1.9999
35_2sin_200cresc_4000dim,-1.9998,183.02,5.14832,19.6105,-0.68475
36_2sin_200dim_4000cresc,-1.9999,181.679,5.16737,19.7159,-0.6858
37_2sin_convergono_1000,-1.9992,0.6631,-1.97131,0.186205,-1.9967
38_2sin_divergono_1000,-1.9992,0.6772,-1.96604,0.218714,-1.9967
39_2sin_convergono_unisono,-1.9594,5.6858,-1.29137,1.27287,-1.8331
40_tanh_drive_cresc,6.9175,21.2231,7.69573,1.77128,7.1674
41_tanh_drive_decresc,6.9127,20.2087,7.66481,1.67808,7.1698
42_fm_idx_cresc,-0.9289,3.0352,-0.187238,0.786802,-0.429
43_fm_idx_decresc,-0.9281,2.9185,-0.194642,0.773044,-0.4287
44_tanh_drive_cresc_veloce,6.9529,15.8384,7.63841,1.42203,7.1806
45_fm_idx_cresc_veloce,-0.9173,2.5707,-0.197333,0.756171,-0.4298
