segnale,min,max,mean,std,median
01_sinusoide_440,385,501,425.483,31.4392,412
02_noise_bianco,116,179,145.414,11.0087,146
03_tanh_drive1,405,501,435.491,26.7429,426.5
04_tanh_drive5,390,440,410.026,10.9469,408
05_tanh_drive20,89,107,97.5086,4.68581,97
06_noise_bp_q500,118,166,141.776,10.5234,142
07_noise_bp_q200,119,182,143.56,11.7218,142
08_noise_bp_q50,105,180,142.422,12.4998,141
09_impulsi_100,479,479,479,0,479
10_fm_idx05,100,143,116.974,8.86436,116
11_fm_idx3,111,152,132.147,7.65558,131
12_fm_idx10,122,158,141.474,6.70365,142
13_sin100,385,501,425.483,31.4392,412
14_sin75_noise25,121,171,146.888,10.6526,148
15_sin50_noise50,114,191,145.44,12.0095,146
16_sin25_noise75,123,180,146.905,11.5333,146.5
17_noise100,118,173,145.362,11.4292,145
18_sin_crescendo,64,146,114.94,16.3482,118.5
19_sin_diminuendo,64,143,115.216,16.165,118.5
20_sin_crescdim,3,129,102.983,17.8553,106
21_noise_crescendo,116,188,145.603,12.2305,145
22_noise_diminuendo,124,177,146.888,10.9582,147
23_noise_crescdim,117,179,145.336,12.5958,144
24_bin_esatto_40,227,291,232.672,6.65631,231
25_fuori_bin_40,211,245,226.629,9.64234,225
26_bin_esatto_80,108,115,114.483,1.08662,115
27_fuori_bin_80,212,254,234.784,12.159,236
28_gliss_lento_200_2000,95,182,152.137,13.1491,152
29_gliss_veloce_200_2000,76,176,142.101,17.5888,146
30_gliss_lento_2000_200,76,188,153.76,13.9094,154
31_gliss_micro_440_460,94,177,130.245,14.6307,130
32_2sin_200_4000,162,197,171.112,5.61674,170
33_2sin_400_1000,165,196,179.957,9.04051,179
34_2sin_100_8000,273,311,297.853,7.44781,296
35_2sin_200cresc_4000dim,154,188,168.296,6.41015,168
36_2sin_200dim_4000cresc,149,187,167.522,6.76344,167
37_2sin_convergono_1000,123,234,191.98,20.7888,196
38_2sin_divergono_1000,99,226,191.614,20.379,197
39_2sin_convergono_unisono,35,217,161.066,35.3979,172
40_tanh_drive_cresc,163,582,422.292,115.636,458
41_tanh_drive_decresc,164,590,422.459,115.114,460
42_fm_idx_cresc,316,592,449.906,71.6853,445
43_fm_idx_decresc,312,595,449.485,72.1856,443
44_tanh_drive_cresc_veloce,238,605,463.304,107.212,491
45_fm_idx_cresc_veloce,340,595,464.652,70.3251,461
