segnale,min,max,mean,std,median
01_sinusoide_440,4.31562,4.33297,4.32532,0.00633878,4.3263
02_noise_bianco,0.054451,0.249948,0.143368,0.03873,0.141288
03_tanh_drive1,3.3868,3.57734,3.44461,0.0593459,3.42083
04_tanh_drive5,2.269,2.26917,2.26909,5.77961e-05,2.26909
05_tanh_drive20,1.95448,1.95465,1.95457,6.02323e-05,1.95457
06_noise_bp_q500,0.602715,0.921777,0.746562,0.0582054,0.741637
07_noise_bp_q200,0.798589,1.12486,0.968293,0.0638065,0.967226
08_noise_bp_q50,1.03803,1.53266,1.27263,0.0915517,1.27244
09_impulsi_100,0.101632,0.101641,0.101637,3.03883e-06,0.101637
10_fm_idx05,2.9152,3.11915,2.98647,0.0623796,2.96419
11_fm_idx3,2.84076,2.84081,2.84079,1.18154e-05,2.84079
12_fm_idx10,0.753826,0.753835,0.75383,3.16579e-06,0.75383
13_sin100,4.31562,4.33297,4.32532,0.00633878,4.3263
14_sin75_noise25,2.02487,2.25486,2.14135,0.0455623,2.13607
15_sin50_noise50,1.44443,1.70867,1.56813,0.0560475,1.56753
16_sin25_noise75,0.835324,1.1351,0.979395,0.0582188,0.975483
17_noise100,0.063682,0.297005,0.141248,0.0403918,0.13898
18_sin_crescendo,3.0084,4.33656,4.10244,0.257194,4.19813
19_sin_diminuendo,3.061,4.33773,4.10497,0.252338,4.19899
20_sin_crescdim,3.0084,4.19751,3.92902,0.259516,4.0133
21_noise_crescendo,0.061223,0.241086,0.143992,0.0353494,0.138802
22_noise_diminuendo,0.079882,0.29051,0.148862,0.0399503,0.141073
23_noise_crescdim,0.055729,0.304261,0.150571,0.0423075,0.146955
24_bin_esatto_40,7.49974,7.50134,7.50097,0.000548061,7.50126
25_fuori_bin_40,4.70627,4.72962,4.71792,0.0116472,4.71789
26_bin_esatto_80,8.19473,8.19505,8.1948,0.000128904,8.19473
27_fuori_bin_80,6.00376,6.02248,6.01309,0.00932009,6.01307
28_gliss_lento_200_2000,1.9524,7.52191,5.54479,1.20276,6.01042
29_gliss_veloce_200_2000,1.81528,6.9912,5.27966,1.16024,5.66411
30_gliss_lento_2000_200,1.91432,7.24111,5.55219,1.20166,5.96799
31_gliss_micro_440_460,4.327,7.1185,4.90346,0.516065,4.74979
32_2sin_200_4000,8.4194,8.46069,8.43826,0.0140814,8.43872
33_2sin_400_1000,3.9103,3.95899,3.93249,0.0149978,3.93918
34_2sin_100_8000,5.62959,5.78257,5.69035,0.0500977,5.68893
35_2sin_200cresc_4000dim,4.8906,6.90201,6.5384,0.404081,6.69034
36_2sin_200dim_4000cresc,4.71333,6.90528,6.53331,0.416081,6.67738
37_2sin_convergono_1000,4.76745,9.09315,6.84872,0.875872,6.87492
38_2sin_divergono_1000,4.74913,9.34923,6.84763,0.877357,6.87485
39_2sin_convergono_unisono,2.938,4.54475,3.40922,0.212768,3.39032
40_tanh_drive_cresc,1.95488,2.77891,2.14278,0.240431,2.03023
41_tanh_drive_decresc,1.95474,2.77803,2.14153,0.239457,2.02967
42_fm_idx_cresc,0.563293,3.85042,1.92329,0.755104,2.01498
43_fm_idx_decresc,0.563382,3.667,1.91889,0.753974,1.99832
44_tanh_drive_cresc_veloce,1.95574,2.666,2.13175,0.214946,2.03071
45_fm_idx_cresc_veloce,0.566346,3.13822,1.85036,0.677628,1.98998
