segnale,min,max,mean,std,median
01_sinusoide_440,445.31,445.31,445.31,5.68434e-14,445.31
02_noise_bianco,40359.4,41156.2,40798.2,174.207,40781.2
03_tanh_drive1,457.03,457.03,457.03,1.7053e-13,457.03
04_tanh_drive5,1335.94,1335.94,1335.94,2.27374e-13,1335.94
05_tanh_drive20,4839.84,4839.84,4839.84,2.72848e-12,4839.84
06_noise_bp_q500,14625,16312.5,15479.2,387.229,15480.5
07_noise_bp_q200,11332,14296.9,12864.1,592.07,12896.5
08_noise_bp_q50,5835.94,11554.7,8957.57,1237.32,9041.01
09_impulsi_100,40804.7,40804.7,40804.7,7.27596e-12,40804.7
10_fm_idx05,1089.84,1089.84,1089.84,0,1089.84
11_fm_idx3,2414.06,2414.06,2414.06,4.54747e-13,2414.06
12_fm_idx10,6808.59,6808.59,6808.59,3.63798e-12,6808.59
13_sin100,445.31,445.31,445.31,5.68434e-14,445.31
14_sin75_noise25,39304.7,40335.9,39786.9,202.111,39773.4
15_sin50_noise50,39972.7,40945.3,40479.5,205.714,40476.6
16_sin25_noise75,40324.2,41144.5,40694.2,174.783,40687.5
17_noise100,40324.2,41308.6,40804.7,180.834,40810.6
18_sin_crescendo,445.31,445.31,445.31,5.68434e-14,445.31
19_sin_diminuendo,445.31,445.31,445.31,5.68434e-14,445.31
20_sin_crescdim,445.31,445.31,445.31,5.68434e-14,445.31
21_noise_crescendo,40171.9,41250,40766.9,173.708,40769.5
22_noise_diminuendo,40265.6,41378.9,40787,203.52,40787.1
23_noise_crescdim,40335.9,41320.3,40801.4,204.055,40793
24_bin_esatto_40,480.47,480.47,480.47,1.7053e-13,480.47
25_fuori_bin_40,480.47,480.47,480.47,1.7053e-13,480.47
26_bin_esatto_80,949.22,949.22,949.22,1.13687e-13,949.22
27_fuori_bin_80,949.22,949.22,949.22,1.13687e-13,949.22
28_gliss_lento_200_2000,222.66,2003.91,1108.7,516.555,1113.28
29_gliss_veloce_200_2000,246.09,1980.47,1110.73,509.595,1113.28
30_gliss_lento_2000_200,222.66,2003.91,1111.67,516.633,1113.28
31_gliss_micro_440_460,445.31,468.75,460.048,6.89098,457.03
32_2sin_200_4000,4007.81,4007.81,4007.81,9.09495e-13,4007.81
33_2sin_400_1000,1007.81,1007.81,1007.81,3.41061e-13,1007.81
34_2sin_100_8000,8003.91,8003.91,8003.91,3.63798e-12,8003.91
35_2sin_200cresc_4000dim,210.94,4007.81,3474.23,1315.31,4007.81
36_2sin_200dim_4000cresc,210.94,4007.81,3453.94,1336.21,4007.81
37_2sin_convergono_1000,1019.53,3996.09,2507.71,862.234,2507.81
38_2sin_divergono_1000,1019.53,3996.09,2502.86,862.161,2501.95
39_2sin_convergono_unisono,410.16,503.91,454.923,28.6068,457.03
40_tanh_drive_cresc,457.03,4839.84,2923.65,1308.76,3082.03
41_tanh_drive_decresc,457.03,4839.84,2931.25,1309.26,3082.03
42_fm_idx_cresc,1089.84,6398.44,3727.57,1645.76,3738.28
43_fm_idx_decresc,1089.84,6398.44,3737.22,1640.52,3738.28
44_tanh_drive_cresc_veloce,457.03,4839.84,2917.12,1295.61,3082.03
45_fm_idx_cresc_veloce,1101.56,6386.72,3724.18,1627.08,3738.28
