segnale,min,max,mean,std,median
01_sinusoide_440,-0.0126,-0.0117,-0.0121457,0.000284784,-0.01215
02_noise_bianco,-0.0386,0.0488,0.00301379,0.015134,0.0032
03_tanh_drive1,4.8018,4.8018,4.8018,1.77636e-15,4.8018
04_tanh_drive5,2.4735,2.4735,2.4735,4.44089e-16,2.4735
05_tanh_drive20,2.4694,2.4694,2.4694,0,2.4694
06_noise_bp_q500,1.7615,1.9503,1.85706,0.0400556,1.8632
07_noise_bp_q200,1.9344,2.2621,2.08591,0.0552881,2.0817
08_noise_bp_q50,2.1746,2.7619,2.40864,0.122066,2.39385
09_impulsi_100,0,0,0,0,0
10_fm_idx05,1.8013,1.8015,1.80141,7.60333e-05,1.8014
11_fm_idx3,0.6217,0.6218,0.62178,3.98701e-05,0.6218
12_fm_idx10,-0.1056,-0.1055,-0.105559,4.90925e-05,-0.1056
13_sin100,-0.0126,-0.0117,-0.0121457,0.000284784,-0.01215
14_sin75_noise25,0.0827,0.1564,0.115946,0.0155931,0.11625
15_sin50_noise50,-0.0088,0.0603,0.022425,0.0142866,0.02135
16_sin25_noise75,-0.0384,0.0404,0.00357759,0.0156252,0.00545
17_noise100,-0.0365,0.0351,-0.00101034,0.0157502,-0.00065
18_sin_crescendo,-0.0179,24.9643,0.353355,2.80477,-0.0122
19_sin_diminuendo,-0.0171,25.9748,0.395049,3.09109,-0.0122
20_sin_crescdim,-0.0179,25.9748,0.760543,4.1381,-0.0123
21_noise_crescendo,-0.0384,0.0419,-0.000492241,0.0152969,-0.0005
22_noise_diminuendo,-0.0407,0.0488,0.00159741,0.0169215,0.0021
23_noise_crescdim,-0.0496,0.0442,-0.00208707,0.0182126,-0.0007
24_bin_esatto_40,0,0,0,0,0
25_fuori_bin_40,-0.0003,0.0003,0,0.0003,0
26_bin_esatto_80,0,0,0,0,0
27_fuori_bin_80,0,0,0,0,0
28_gliss_lento_200_2000,-0.099,0.0986,1.50215e-05,0.0462694,0.0005
29_gliss_veloce_200_2000,-0.0388,0.0382,-5.65217e-05,0.0147886,0
30_gliss_lento_2000_200,-0.0995,0.0994,-0.00111845,0.0472303,-0.001
31_gliss_micro_440_460,-0.1067,0.1081,0.0019133,0.0569958,-0.0052
32_2sin_200_4000,-0.0361,-0.0361,-0.0361,1.38778e-17,-0.0361
33_2sin_400_1000,-0.0232,-0.0232,-0.0232,3.46945e-18,-0.0232
34_2sin_100_8000,0.0049,0.007,0.00589224,0.000744769,0.0057
35_2sin_200cresc_4000dim,-13.5908,10.7722,-0.0911527,2.67136,-0.04165
36_2sin_200dim_4000cresc,-11.1517,13.5457,-0.00708011,2.67654,-0.03065
37_2sin_convergono_1000,-0.0716,0.3387,-0.0434769,0.0249573,-0.043
38_2sin_divergono_1000,-0.0716,0.1389,-0.043576,0.0189658,-0.04275
39_2sin_convergono_unisono,-0.2902,0.2997,0.00213314,0.0622818,-0.0003
40_tanh_drive_cresc,2.4196,4.5063,2.54754,0.285116,2.4638
41_tanh_drive_decresc,2.4193,4.3996,2.54332,0.272987,2.4628
42_fm_idx_cresc,-0.1206,1.7332,0.358499,0.43516,0.1523
43_fm_idx_decresc,-0.1205,1.708,0.355312,0.431525,0.1525
44_tanh_drive_cresc_veloce,2.4346,3.9119,2.53898,0.242463,2.4656
45_fm_idx_cresc_veloce,-0.1118,1.615,0.357667,0.424064,0.1536
