segnale,min,max,mean,std,median
01_sinusoide_440,7.17014,7.20161,7.18574,0.0110426,7.18553
02_noise_bianco,-0.242804,0.161011,-0.0177094,0.0732333,-0.0169112
03_tanh_drive1,-4.71691,-4.71629,-4.71658,0.000215138,-4.71656
04_tanh_drive5,-2.80005,-2.79971,-2.79987,0.000120282,-2.79987
05_tanh_drive20,-2.67088,-2.67083,-2.67085,1.8928e-05,-2.67085
06_noise_bp_q500,-6.70398,-6.03721,-6.40866,0.134622,-6.41879
07_noise_bp_q200,-6.39696,-5.44572,-5.90563,0.185359,-5.89966
08_noise_bp_q50,-5.82413,-4.38943,-5.09409,0.278469,-5.07995
09_impulsi_100,0.0170999,0.0301196,0.0257897,0.00508027,0.0276617
10_fm_idx05,-2.24035,-2.22722,-2.23373,0.00508225,-2.23403
11_fm_idx3,-1.78937,-1.18557,-1.34478,0.222557,-1.20498
12_fm_idx10,-0.816756,-0.75174,-0.768756,0.0220064,-0.757189
13_sin100,7.17014,7.20161,7.18574,0.0110426,7.18553
14_sin75_noise25,-0.356066,0.0244787,-0.14492,0.0715675,-0.150325
15_sin50_noise50,-0.242454,0.0885364,-0.0828755,0.0749263,-0.0706558
16_sin25_noise75,-0.225624,0.16817,-0.0589481,0.0767665,-0.0681764
17_noise100,-0.135454,0.137232,0.000227129,0.0648133,-0.00602324
18_sin_crescendo,-12.0625,7.20138,6.87858,2.29361,7.18266
19_sin_diminuendo,-12.4811,7.20146,6.86957,2.36257,7.1827
20_sin_crescdim,-12.4811,7.20098,6.56217,3.26309,7.17959
21_noise_crescendo,-0.261529,0.191012,0.00117196,0.0769183,-0.00534583
22_noise_diminuendo,-0.23689,0.229627,-0.00356544,0.0840573,-0.00758589
23_noise_crescdim,-0.213743,0.189789,0.0106358,0.0858552,0.0190322
24_bin_esatto_40,0.695234,0.695234,0.695234,2.56619e-09,0.695234
25_fuori_bin_40,5.28555,5.31213,5.29884,0.0132936,5.29884
26_bin_esatto_80,0.695316,0.695316,0.695316,7.79647e-09,0.695316
27_fuori_bin_80,5.30705,5.3136,5.31032,0.00327471,5.31032
28_gliss_lento_200_2000,-86.7869,98.3471,5.38719,25.7456,5.76168
29_gliss_veloce_200_2000,-39.6425,54.6972,5.69786,17.0884,5.81095
30_gliss_lento_2000_200,-79.9949,99.6846,6.24266,25.4354,6.1049
31_gliss_micro_440_460,-137.854,448.333,7.26966,34.8244,6.53775
32_2sin_200_4000,-0.10919,-0.10816,-0.108693,0.000366066,-0.108727
33_2sin_400_1000,0.923546,0.926175,0.924877,0.000773781,0.924814
34_2sin_100_8000,-0.373046,0.401467,0.0958575,0.275373,0.0573463
35_2sin_200cresc_4000dim,-3.38486,2.74433,-0.671351,0.653284,-0.559205
36_2sin_200dim_4000cresc,-3.32866,1.97598,-0.706341,0.628634,-0.582443
37_2sin_convergono_1000,-25.2716,53.2318,0.915327,5.28878,0.550008
38_2sin_divergono_1000,-92.5182,51.1909,0.69139,7.00668,0.547545
39_2sin_convergono_unisono,-71.444,106.103,2.84146,16.1313,2.26508
40_tanh_drive_cresc,-5.79268,-2.14026,-2.97613,0.461759,-2.91573
41_tanh_drive_decresc,-5.4772,-2.1179,-2.96516,0.434971,-2.92175
42_fm_idx_cresc,-3.47309,-0.211307,-1.1616,0.58692,-1.02293
43_fm_idx_decresc,-3.2723,-0.300185,-1.16921,0.59577,-1.04194
44_tanh_drive_cresc_veloce,-4.55291,-2.27705,-2.97749,0.404226,-2.94347
45_fm_idx_cresc_veloce,-3.07103,-0.291235,-1.16338,0.580452,-1.01898
