segnale,centroid_mean,centroid_std,spread_mean,spread_std,rolloff_mean,rolloff_std,slope_mean,slope_std,obsir_std_mean,obsir_std_std,flatness_mean,flatness_std,crest_mean,crest_std,skewness_mean,skewness_std,kurtosis_mean,kurtosis_std,entropy_mean,entropy_std,tpr_mean,tpr_std,n_peaks_mean,n_peaks_std,tonality_mean,tonality_std,flux_mean,flux_std,irregularity_mean,irregularity_std,zcr_mean,zcr_std
01_sinusoide_440,440.07,5.68434e-14,11.5327,7.93478e-05,445.31,5.68434e-14,7.18574,0.0110426,4.32532,0.00633878,0.103623,3.58217e-06,5.7879,0,-0.0121457,0.000284784,5.49633,0.00025329,0.103856,2.77556e-17,18.1263,3.35393e-05,425.483,31.4392,0.164091,2.50867e-06,2.59483e-06,1.34535e-06,28.7485,0,0.00916652,3.42417e-05
02_noise_bianco,23969.2,141.805,13864.5,66.2407,40798.2,174.207,-0.0177094,0.0732333,0.143368,0.03873,0.845562,0.00350882,3.34855,0.233551,0.00301379,0.015134,-1.20043,0.0134353,0.949284,0.00110051,-6.58867,0.445173,145.414,11.0087,0.0121431,0.000300542,5.11236,0.481613,2276.63,37.0663,0.498925,0.00553688
03_tanh_drive1,481.22,1.7053e-13,194.092,0.00037994,457.03,1.7053e-13,-4.71658,0.000215138,3.44461,0.0593459,0.110367,4.01538e-06,8.2928,1.77636e-15,4.8018,1.77636e-15,23.9121,0.000148646,0.105684,1.38778e-17,18.1307,3.34793e-05,435.491,26.7429,0.159527,2.75057e-06,3.18103e-06,1.62735e-06,67.6156,7.4458e-05,0.00916652,3.42417e-05
04_tanh_drive5,938.1,4.54747e-13,922.939,6.54491e-05,1335.94,2.27374e-13,-2.79987,0.000120282,2.26909,5.77961e-05,0.154621,1.80424e-06,12.9184,0,2.4735,4.44089e-16,7.368,8.88178e-16,0.144145,5.55112e-17,18.3244,3.21936e-05,410.026,10.9469,0.135122,8.29739e-07,7.92241e-06,3.98305e-06,202.735,5.68434e-14,0.00916652,3.42417e-05
05_tanh_drive20,2445.38,4.54747e-13,3290.6,0.000128755,4839.84,2.72848e-12,-2.67085,1.8928e-05,1.95457,6.02323e-05,0.199722,5.88989e-07,21.5843,4.90925e-05,2.4694,0,7.1031,0,0.182674,5.55112e-17,18.5853,3.12554e-05,97.5086,4.68581,0.116596,2.67519e-07,8.87069e-06,4.45384e-06,598.225,4.99926e-05,0.00916652,3.42417e-05
06_noise_bp_q500,7023.45,170.07,8753.22,104.043,15479.2,387.229,-6.40866,0.134622,0.746562,0.0582054,0.353798,0.00927855,36.0435,4.99269,1.85706,0.0400556,2.98697,0.17078,0.610912,0.014746,-6.75345,2.72072,141.776,10.5234,0.0752322,0.00188793,2.03559,0.205519,3607.33,231.628,0.0620046,0.00393878
07_noise_bp_q200,5840.03,241.096,7925.65,226.796,12864.1,592.07,-5.90563,0.185359,0.968293,0.0638065,0.342531,0.0115463,58.4052,7.85236,2.08591,0.0552881,3.98822,0.262562,0.508951,0.02465,-8.58445,4.85746,143.56,11.7218,0.0775911,0.00243769,1.52778,0.168647,4594.24,349.822,0.0421615,0.0036904
08_noise_bp_q50,4272.63,479.589,6105.83,687.437,8957.57,1237.32,-5.09409,0.278469,1.27263,0.0915517,0.341113,0.0158424,91.6913,11.8782,2.40864,0.122066,5.75013,0.752564,0.373291,0.0418243,-9.38244,8.38733,142.422,12.4998,0.0779276,0.00333802,1.02812,0.144899,5052.39,290.946,0.0277744,0.0027754
09_impulsi_100,24000,0,13870.3,0.0148651,40804.7,7.27596e-12,0.0257897,0.00508027,0.101637,3.03883e-06,0.178354,0.00473147,4.08209,0.0369188,0,0,-1.2,4.44089e-16,0.846434,9.28104e-05,20.507,0.0100634,479,0,0.124811,0.00191275,0.00163042,0.000836804,5690.62,167.752,0.00207547,0.0001182
10_fm_idx05,548.901,0.00868254,333.26,0.00378906,1089.84,0,-2.23373,0.00508225,2.98647,0.0623796,0.150046,0.000151385,10.5378,0.000341806,1.80141,7.60333e-05,3.34233,0.000246912,0.158959,1.97176e-06,18.6223,0.000557585,116.974,8.86436,0.137296,7.30083e-05,0.000128379,6.38307e-05,158.556,0.00049443,0.00916862,5.6363e-05
11_fm_idx3,1433.03,0.081291,880.584,0.027696,2414.06,4.54747e-13,-1.34478,0.222557,2.84079,1.18154e-05,0.135652,0.00157716,9.17794,0.0611506,0.62178,3.98701e-05,0.132717,0.000173342,0.341848,8.02975e-07,23.0541,6.32201e-05,132.147,7.65558,0.1446,0.000836498,0.000352233,0.000187648,383.988,0.000209841,0.0275016,0.000111398
12_fm_idx10,4308.46,0.0617055,2268.4,0.0258557,6808.59,3.63798e-12,-0.768756,0.0220064,0.75383,3.16579e-06,0.137482,0.000574298,8.75791,0.0208,-0.105559,4.90925e-05,-0.918783,3.7774e-05,0.44419,4.99703e-07,23.9258,0.000569075,141.474,6.70365,0.143626,0.000303091,0.000340121,0.000182451,799.992,0.00143531,0.0916681,0.000125376
