segnale,min,max,mean,std,median
01_sinusoide_440,11.5326,11.5328,11.5327,7.93478e-05,11.5327
02_noise_bianco,13718.6,14066,13864.5,66.2407,13859.9
03_tanh_drive1,194.091,194.093,194.092,0.00037994,194.092
04_tanh_drive5,922.939,922.939,922.939,6.54491e-05,922.939
05_tanh_drive20,3290.6,3290.6,3290.6,0.000128755,3290.6
06_noise_bp_q500,8498.5,9002.7,8753.22,104.043,8740.05
07_noise_bp_q200,7250.14,8468.41,7925.65,226.796,7926.61
08_noise_bp_q50,4064.36,7326.65,6105.83,687.437,6178.87
09_impulsi_100,13870.3,13870.4,13870.3,0.0148651,13870.3
10_fm_idx05,333.255,333.266,333.26,0.00378906,333.26
11_fm_idx3,880.534,880.614,880.584,0.027696,880.594
12_fm_idx10,2268.36,2268.45,2268.4,0.0258557,2268.4
13_sin100,11.5326,11.5328,11.5327,7.93478e-05,11.5327
14_sin75_noise25,14945.5,15243.1,15109.2,62.6969,15106.3
15_sin50_noise50,14206.3,14569.1,14378.1,66.8541,14376.3
16_sin25_noise75,13885.9,14183.5,14039.5,64.463,14051.8
17_noise100,13698.9,14037.8,13863.7,71.4195,13853.7
18_sin_crescendo,11.5327,131.78,12.9203,11.6979,11.5329
19_sin_diminuendo,11.5327,98.4807,12.6137,8.75199,11.5329
20_sin_crescdim,11.5233,131.78,14.001,14.5065,11.5335
21_noise_crescendo,13665.6,14001.9,13844.4,65.232,13839.4
22_noise_diminuendo,13689.2,14036.6,13858.1,71.3965,13847.1
23_noise_crescdim,13656.4,14042.1,13853.1,73.0977,13843.3
24_bin_esatto_40,8.2868,8.2868,8.2868,1.77636e-15,8.2868
25_fuori_bin_40,11.5608,11.5609,11.5608,5e-05,11.5609
26_bin_esatto_80,8.2868,8.2868,8.2868,1.77636e-15,8.2868
27_fuori_bin_80,11.5609,11.5609,11.5609,0,11.5609
28_gliss_lento_200_2000,10.9031,12.2868,11.6402,0.506433,11.6823
29_gliss_veloce_200_2000,16.4744,16.7658,16.633,0.109349,16.6582
30_gliss_lento_2000_200,10.9031,12.2867,11.6355,0.507949,11.686
31_gliss_micro_440_460,8.2868,11.5609,10.1762,1.05233,10.3035
32_2sin_200_4000,1899.67,1899.67,1899.67,0.000107797,1899.67
33_2sin_400_1000,300.161,300.162,300.162,0.000194138,300.162
34_2sin_100_8000,3950.06,3950.14,3950.1,0.0285996,3950.09
35_2sin_200cresc_4000dim,276.183,1899.96,1501.2,409.87,1648.26
36_2sin_200dim_4000cresc,277.157,1899.98,1501.17,409.953,1648.39
37_2sin_convergono_1000,14.9301,1943.92,976.514,560.043,976.231
38_2sin_divergono_1000,12.5889,1940.38,973.316,560.026,973.049
39_2sin_convergono_unisono,9.5166,100.399,52.0754,27.1106,51.0125
40_tanh_drive_cresc,212.585,3264.22,1810.47,887.098,1833.34
41_tanh_drive_decresc,218.295,3267.71,1815.58,886.914,1837.44
42_fm_idx_cresc,346.047,2271.21,1325.58,543.697,1321.88
43_fm_idx_decresc,351.338,2270.58,1328.82,543.566,1323.5
44_tanh_drive_cresc_veloce,248.538,3237.1,1807.73,875.666,1829.83
45_fm_idx_cresc_veloce,378.182,2254.04,1323.43,535.872,1320.77
