segnale,min,max,mean,std,median
01_sinusoide_440,0.164087,0.164094,0.164091,2.50867e-06,0.164091
02_noise_bianco,0.011467,0.012889,0.0121431,0.000300542,0.0121105
03_tanh_drive1,0.159523,0.159531,0.159527,2.75057e-06,0.159527
04_tanh_drive5,0.135121,0.135123,0.135122,8.29739e-07,0.135122
05_tanh_drive20,0.116595,0.116596,0.116596,2.67519e-07,0.116596
06_noise_bp_q500,0.069575,0.079841,0.0752322,0.00188793,0.0754575
07_noise_bp_q200,0.071695,0.083378,0.0775911,0.00243769,0.0777325
08_noise_bp_q50,0.068098,0.084885,0.0779276,0.00333802,0.078186
09_impulsi_100,0.122102,0.127047,0.124811,0.00191275,0.125763
10_fm_idx05,0.137198,0.137398,0.137296,7.30083e-05,0.13729
11_fm_idx3,0.142991,0.145183,0.1446,0.000836498,0.145162
12_fm_idx10,0.143388,0.144389,0.143626,0.000303091,0.143417
13_sin100,0.164087,0.164094,0.164091,2.50867e-06,0.164091
14_sin75_noise25,0.017639,0.018623,0.0180738,0.000216045,0.0180685
15_sin50_noise50,0.013635,0.015048,0.0143739,0.000305722,0.0143975
16_sin25_noise75,0.012088,0.013559,0.012865,0.000295221,0.012939
17_noise100,0.011467,0.012947,0.0121527,0.00032462,0.012131
18_sin_crescendo,0.16403,0.19554,0.16458,0.00373161,0.16409
19_sin_diminuendo,0.164038,0.191941,0.164562,0.00357503,0.16409
20_sin_crescdim,0.16403,0.19554,0.165059,0.00512187,0.164089
21_noise_crescendo,0.011292,0.012885,0.0121705,0.000342812,0.012149
22_noise_diminuendo,0.011503,0.012764,0.0122111,0.000303466,0.012259
23_noise_crescdim,0.011434,0.013043,0.0121516,0.000321361,0.012146
24_bin_esatto_40,0.004097,0.004097,0.004097,1.73472e-18,0.004097
25_fuori_bin_40,0.163503,0.163508,0.163505,2.5e-06,0.163505
26_bin_esatto_80,0.004097,0.004097,0.004097,1.73472e-18,0.004097
27_fuori_bin_80,0.163506,0.163506,0.163506,2.77556e-17,0.163506
28_gliss_lento_200_2000,0.141765,0.163901,0.154574,0.00515635,0.155566
29_gliss_veloce_200_2000,0.128618,0.139722,0.134325,0.00356925,0.135339
30_gliss_lento_2000_200,0.141842,0.16365,0.154414,0.0050553,0.155551
31_gliss_micro_440_460,0.004097,0.17952,0.163198,0.0177926,0.16605
32_2sin_200_4000,0.170181,0.170192,0.170186,3.93236e-06,0.170186
33_2sin_400_1000,0.169134,0.16915,0.169142,5.84475e-06,0.16914
34_2sin_100_8000,0.163654,0.174841,0.169269,0.00388413,0.168151
35_2sin_200cresc_4000dim,0.148389,0.192948,0.160496,0.00680878,0.160782
36_2sin_200dim_4000cresc,0.147968,0.190966,0.160593,0.00696779,0.160783
37_2sin_convergono_1000,0.118528,0.166043,0.156825,0.00574002,0.158105
38_2sin_divergono_1000,0.122101,0.171501,0.156664,0.00597263,0.158172
39_2sin_convergono_unisono,0.115005,0.178348,0.154754,0.0122071,0.156577
40_tanh_drive_cresc,0.116149,0.164921,0.130537,0.00970065,0.128575
41_tanh_drive_decresc,0.116043,0.163288,0.130417,0.00955665,0.128511
42_fm_idx_cresc,0.133523,0.154562,0.145344,0.00295112,0.145185
43_fm_idx_decresc,0.135485,0.154742,0.145421,0.00294144,0.145341
44_tanh_drive_cresc_veloce,0.116979,0.15602,0.130577,0.00939846,0.128632
45_fm_idx_cresc_veloce,0.140182,0.152043,0.145185,0.00267934,0.144891
