segnale,min,max,mean,std,median
01_sinusoide_440,18.1262,18.1263,18.1263,3.35393e-05,18.1263
02_noise_bianco,-7.8741,-5.4399,-6.58867,0.445173,-6.63925
03_tanh_drive1,18.1306,18.1307,18.1307,3.34793e-05,18.1307
04_tanh_drive5,18.3244,18.3245,18.3244,3.21936e-05,18.3244
05_tanh_drive20,18.5852,18.5853,18.5853,3.12554e-05,18.5853
06_noise_bp_q500,-12.6225,-0.376739,-6.75345,2.72072,-6.64447
07_noise_bp_q200,-20.3421,0.785248,-8.58445,4.85746,-8.45028
08_noise_bp_q50,-25.8898,4.86765,-9.38244,8.38733,-10.9646
09_impulsi_100,20.4904,20.5167,20.507,0.0100634,20.5098
10_fm_idx05,18.6215,18.6231,18.6223,0.000557585,18.6223
11_fm_idx3,23.054,23.0542,23.0541,6.32201e-05,23.0541
12_fm_idx10,23.925,23.9266,23.9258,0.000569075,23.9258
13_sin100,18.1262,18.1263,18.1263,3.35393e-05,18.1263
14_sin75_noise25,12.546,12.9621,12.7663,0.0876235,12.7701
15_sin50_noise50,4.45214,5.18419,4.79517,0.141391,4.79396
16_sin25_noise75,-3.41963,-1.73071,-2.63845,0.295908,-2.65218
17_noise100,-7.61826,-5.64553,-6.55801,0.456201,-6.53335
18_sin_crescendo,15.211,18.126,18.0786,0.286377,18.125
19_sin_diminuendo,15.8937,18.126,18.0869,0.222508,18.125
20_sin_crescdim,15.211,18.1249,18.0394,0.357517,18.1209
21_noise_crescendo,-8.06829,-5.34696,-6.58045,0.50187,-6.58288
22_noise_diminuendo,-7.45798,-5.5081,-6.50979,0.428064,-6.51497
23_noise_crescdim,-7.83923,-5.20573,-6.5601,0.482497,-6.55962
24_bin_esatto_40,85.7204,85.7204,85.7204,6.13706e-07,85.7204
25_fuori_bin_40,16.8729,16.8729,16.8729,4e-06,16.8729
26_bin_esatto_80,85.7147,85.7147,85.7147,1.0781e-06,85.7147
27_fuori_bin_80,16.8729,16.8729,16.8729,5e-07,16.8729
28_gliss_lento_200_2000,15.399,22.5047,19.7633,2.22157,20.2148
29_gliss_veloce_200_2000,-87.8984,11.5893,7.97979,16.5762,10.992
30_gliss_lento_2000_200,15.4138,22.5047,19.7703,2.2347,20.1963
31_gliss_micro_440_460,16.8863,60.7826,28.65,9.15559,26.6227
32_2sin_200_4000,24.7268,24.7268,24.7268,5.16053e-06,24.7268
33_2sin_400_1000,24.363,24.363,24.363,4.76208e-06,24.363
34_2sin_100_8000,19.3372,19.3455,19.3413,0.00294921,19.3409
35_2sin_200cresc_4000dim,21.8213,37.4003,26.8203,5.16372,24.7033
36_2sin_200dim_4000cresc,21.8214,37.4064,26.8635,5.18687,24.7487
37_2sin_convergono_1000,-96.6459,24.1884,19.7689,9.08665,20.2729
38_2sin_divergono_1000,-100.5,24.204,19.4809,11.0824,20.3077
39_2sin_convergono_unisono,-166.453,31.1237,6.24536,51.5918,21.7667
40_tanh_drive_cresc,18.1113,18.5846,18.44,0.133965,18.4875
41_tanh_drive_decresc,18.1133,18.5848,18.4408,0.133411,18.4881
42_fm_idx_cresc,18.7024,26.2921,22.5828,1.71603,22.4332
43_fm_idx_decresc,18.7382,26.2966,22.5919,1.70979,22.4415
44_tanh_drive_cresc_veloce,17.9811,18.5832,18.4342,0.146315,18.4869
45_fm_idx_cresc_veloce,18.8858,26.0745,22.4792,1.64417,22.2886
