segnale,min,max,mean,std,median
01_sinusoide_440,0.009156,0.009278,0.00916652,3.42417e-05,0.009156
02_noise_bianco,0.485411,0.511659,0.498925,0.00553688,0.49884
03_tanh_drive1,0.009156,0.009278,0.00916652,3.42417e-05,0.009156
04_tanh_drive5,0.009156,0.009278,0.00916652,3.42417e-05,0.009156
05_tanh_drive20,0.009156,0.009278,0.00916652,3.42417e-05,0.009156
06_noise_bp_q500,0.054694,0.074228,0.0620046,0.00393878,0.061775
07_noise_bp_q200,0.032108,0.052619,0.0421615,0.0036904,0.042058
08_noise_bp_q50,0.020632,0.035771,0.0277744,0.0027754,0.0278965
09_impulsi_100,0.001953,0.002198,0.00207547,0.0001182,0.002075
10_fm_idx05,0.009034,0.009278,0.00916862,5.6363e-05,0.009156
11_fm_idx3,0.027347,0.027713,0.0275016,0.000111398,0.027469
12_fm_idx10,0.091442,0.09193,0.0916681,0.000125376,0.091686
13_sin100,0.009156,0.009278,0.00916652,3.42417e-05,0.009156
14_sin75_noise25,0.05091,0.062386,0.056536,0.00224984,0.056525
15_sin50_noise50,0.166524,0.190819,0.179465,0.00449023,0.179526
16_sin25_noise75,0.441094,0.46722,0.454149,0.00545769,0.45434
17_noise100,0.485899,0.513002,0.499729,0.00592763,0.49939
18_sin_crescendo,0.009156,0.009278,0.00916652,3.42417e-05,0.009156
19_sin_diminuendo,0.009156,0.009278,0.00916652,3.42417e-05,0.009156
20_sin_crescdim,0.009156,0.009278,0.00916652,3.42417e-05,0.009156
21_noise_crescendo,0.486021,0.517397,0.499412,0.00536408,0.499267
22_noise_diminuendo,0.486265,0.510194,0.499108,0.00527189,0.499451
23_noise_crescdim,0.486754,0.516909,0.500735,0.00552951,0.501038
24_bin_esatto_40,0.009645,0.009767,0.00964605,1.12785e-05,0.009645
25_fuori_bin_40,0.009767,0.009889,0.00982905,6.09909e-05,0.009889
26_bin_esatto_80,0.019412,0.019534,0.0194131,1.12785e-05,0.019412
27_fuori_bin_80,0.019534,0.019656,0.0195961,6.09909e-05,0.019656
28_gliss_lento_200_2000,0.004395,0.041387,0.022886,0.0107612,0.02283
29_gliss_veloce_200_2000,0.004761,0.040899,0.02283,0.0106193,0.02283
30_gliss_lento_2000_200,0.004395,0.041509,0.0229463,0.010762,0.022952
31_gliss_micro_440_460,0.009156,0.009645,0.00937441,0.000132058,0.009401
32_2sin_200_4000,0.083262,0.083384,0.0833114,5.98929e-05,0.083262
33_2sin_400_1000,0.020754,0.020999,0.0208291,8.78566e-05,0.020754
34_2sin_100_8000,0.166646,0.166768,0.16668,5.45276e-05,0.166646
35_2sin_200cresc_4000dim,0.004151,0.083384,0.0536197,0.032325,0.0810035
36_2sin_200dim_4000cresc,0.004151,0.083384,0.0533939,0.0323879,0.077585
37_2sin_convergono_1000,0.020999,0.079966,0.0507198,0.0170096,0.0508485
38_2sin_divergono_1000,0.021121,0.080332,0.0505785,0.0170053,0.05091
39_2sin_convergono_unisono,0.008302,0.010499,0.00936251,0.000597147,0.009401
40_tanh_drive_cresc,0.009156,0.009278,0.00916595,3.33878e-05,0.009156
41_tanh_drive_decresc,0.009156,0.009278,0.00916595,3.33878e-05,0.009156
42_fm_idx_cresc,0.009034,0.089122,0.0463866,0.023479,0.045904
43_fm_idx_decresc,0.009034,0.087901,0.0465354,0.0234739,0.045904
44_tanh_drive_cresc_veloce,0.009156,0.009278,0.00916838,3.68346e-05,0.009156
45_fm_idx_cresc_veloce,0.009034,0.083506,0.0462526,0.0231778,0.045904
