frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,93.85,37.8748,105.47,-8.1156263347,0.330927,0.103291,14.7218,4.1493,34.3172,0.164323,0.107866,22.67942,155,0.0,46.2061,0.001953,0
1,0.0427,93.34,25.5732,105.47,-6.8996698444,0.376523,0.103773,10.6981,3.0658,40.3725,0.163986,0.107092,24.354178,150,0.0005,39.1024,0.001953,0
2,0.0853,93.33,24.4152,105.47,-7.0975752179,0.450728,0.093072,11.2091,3.1219,40.3637,0.171863,0.107224,29.186325,144,0.000563,37.7191,0.001953,0
3,0.128,91.0,22.4592,105.47,-6.3737218009,0.326303,0.117324,8.111,-0.1257,24.6942,0.155102,0.107015,24.539419,158,0.000705,38.7975,0.002075,0
4,0.1707,92.69,19.1377,105.47,-5.3224665064,0.490852,0.115458,8.2039,-0.6037,16.0814,0.156263,0.106859,26.539322,146,0.000948,24.8364,0.002075,0
5,0.2133,93.5,17.1397,105.47,-4.3262627345,0.465619,0.106545,8.3142,-0.1311,19.3008,0.162078,0.105939,29.652336,149,0.001097,25.4644,0.001953,0
6,0.256,93.7,14.9048,105.47,-1.9793608843,0.439352,0.110409,6.9935,-0.5063,18.1863,0.159499,0.105633,30.100124,161,0.001386,33.0562,0.001953,0
7,0.2987,93.69,14.0646,105.47,-0.2696348282,0.468754,0.108998,7.0225,-1.6161,14.4805,0.160431,0.105322,29.866632,161,0.00165,27.4366,0.001953,0
8,0.3413,93.9,13.6343,105.47,0.8840348851,0.377029,0.10322,7.0472,-1.7288,15.2301,0.164373,0.105033,29.716987,176,0.001952,28.7335,0.001953,0
9,0.384,94.08,13.9828,105.47,-2.8367120151,0.462658,0.084487,7.9897,-1.0985,17.8872,0.178868,0.104902,29.86091,170,0.002339,28.348,0.001953,0
10,0.4267,100.69,41.9812,105.47,-6.4351064549,0.063071,0.082895,20.6907,6.2386,48.7644,0.180245,0.105953,29.169082,9,0.00324,48.5242,0.002075,0
11,0.4693,207.06,335.4211,222.66,-6.5138125857,0.055836,0.181438,62.6044,3.6035,13.2241,0.123545,0.112694,18.593459,1,0.007584,25.889,0.002075,0
12,0.512,95.23,14.5223,105.47,-4.6310485452,0.375346,0.081629,8.0017,3.5238,59.7225,0.181359,0.104698,28.762236,172,0.008825,50.0826,0.001953,0
13,0.5547,95.7,15.667,105.47,0.2236575467,0.433203,0.086681,7.9714,4.98,66.4338,0.177012,0.104669,28.240316,168,0.003125,46.1656,0.001953,0
14,0.5973,96.55,19.697,105.47,-4.3839847477,0.364546,0.07439,8.8707,7.7358,109.9152,0.188081,0.104639,27.818798,162,0.003216,75.8772,0.001953,0
15,0.64,97.62,23.4855,105.47,-4.4137427685,0.399511,0.080488,9.6787,7.5611,87.1027,0.182378,0.10491,26.930161,175,0.002867,65.8717,0.002075,0
16,0.6827,98.74,27.0232,105.47,-0.6546509371,0.422756,0.093775,9.5033,6.477,59.743,0.171319,0.105643,25.152938,172,0.001287,55.6478,0.002075,0
17,0.7253,99.55,29.862,105.47,-0.5007587339,0.733271,0.091418,10.1223,5.7173,41.3464,0.173162,0.104176,28.196469,160,0.003159,52.3326,0.001953,0
18,0.768,100.39,31.5683,105.47,-0.9361321255,0.643303,0.09873,9.4748,4.8283,26.7499,0.167592,0.105984,25.617804,147,0.002305,49.5559,0.001953,0
19,0.8107,99.07,33.6844,105.47,-2.5780998204,0.652804,0.108592,10.5535,4.5303,28.3104,0.1607,0.104266,29.520039,173,0.003553,44.2949,0.001953,0
20,0.8533,100.39,35.8206,105.47,-2.769197849,0.551372,0.09244,10.8188,5.4632,39.0534,0.172356,0.10625,25.854427,163,0.002248,55.472,0.001953,0
21,0.896,99.14,34.6441,105.47,-3.0971442731,0.514116,0.09274,11.1038,5.7618,44.7947,0.172122,0.104227,29.897291,151,0.003158,53.9312,0.002075,0
22,0.9387,98.79,31.0027,105.47,-2.3653045303,0.54249,0.079142,10.5385,6.0805,50.0022,0.183599,0.105849,26.559849,169,0.002199,53.0509,0.002075,0
23,0.9813,97.51,29.684,105.47,-3.3928535674,0.559375,0.089174,10.2551,6.1874,55.0235,0.17496,0.104473,29.995603,180,0.002513,49.6107,0.001953,0
24,1.024,96.99,29.1124,105.47,-2.848835397,0.466167,0.101795,9.2131,6.3314,62.2246,0.165379,0.105532,27.395915,159,0.00175,40.7254,0.001953,0
25,1.0667,168.18,376.7706,105.47,-4.137709925,0.847724,0.087584,36.1736,6.024,39.7919,0.176263,0.105644,27.658889,42,0.001923,92.8277,0.001953,0
26,1.1093,101.05,91.0021,105.47,-5.0945682876,0.847476,0.083943,13.5671,13.887,210.0421,0.179336,0.105483,26.858243,157,0.00179,84.5309,0.001953,0
