frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,1,-1.297903,-0.362365,-0.874142,0.688383,-3.009224,-4.808998,-2.661648,-2.175929,-1.674300,-13.543251,-3.593029,-5.367391,-2.623529,-0.372330,-1.836524,-1.450357
1,0.042700,1,-1.297903,-0.362365,-0.874142,0.688383,-3.009224,-4.808998,-2.661648,-2.175929,-1.674300,-13.543251,-3.593029,-5.367391,-2.623529,-0.372330,-1.836524,-1.450357
2,0.085300,1,-1.297903,-0.362365,-0.874142,0.688383,-3.009224,-4.808998,-2.661648,-2.175929,-1.674300,-13.543251,-3.593029,-5.367391,-2.623529,-0.372330,-1.836524,-1.450357
3,0.128000,1,-1.297903,-0.362365,-0.874142,0.688383,-3.009224,-4.808998,-2.661648,-2.175929,-1.674300,-13.543251,-3.593029,-5.367391,-2.623529,-0.372330,-1.836524,-1.450357
4,0.170700,1,-1.297903,-0.362365,-0.874142,0.688383,-3.009224,-4.808998,-2.661648,-2.175929,-1.674300,-13.543251,-3.593029,-5.367391,-2.623529,-0.372330,-1.836524,-1.450357
5,0.213300,0,11.881576,11.970138,12.244038,-2.472604,1.119462,8.018595,8.554404,-0.764977,-1.294445,-5.626074,9.457361,-7.616040,-2.111691,-0.372330,6.860558,16.949608
6,0.256000,0,11.659656,10.871449,11.386623,-2.748352,0.477738,5.737343,3.331820,-0.705971,-1.261933,-4.522315,12.819988,-7.112377,-2.367610,4.558179,6.991140,4.793670
7,0.298700,0,6.708958,7.503096,6.413704,-2.460555,0.585774,4.736484,7.002068,-0.269443,-0.931791,-3.960313,8.408605,-5.326227,-1.672972,3.379728,9.839142,4.294475
8,0.341300,0,2.489025,2.578531,2.898368,-1.936011,1.355529,7.008068,7.332713,-0.904938,-1.265623,-5.163592,2.189528,-2.463552,-1.417053,1.490628,4.736523,1.214061
9,0.384000,0,0.560201,1.092516,0.669191,-1.113215,-0.827365,3.858432,5.959128,-0.568707,-1.214461,-3.416376,0.223795,-1.045841,-1.490173,2.583774,1.830856,-0.118489
10,0.426700,0,-0.013767,0.209313,-0.102475,-1.968513,-1.308135,1.897474,2.776264,0.549304,0.009238,-1.970603,0.259149,-1.136015,-2.513850,6.091611,0.460262,-0.118489
11,0.469300,0,0.179104,0.705322,-0.102475,-2.633901,-2.384499,2.087226,6.874404,0.069067,-0.736287,-2.127905,0.162480,-1.777929,-2.586969,7.397333,-0.495746,-0.118489
12,0.512000,0,-0.127227,-0.163128,-0.102475,-1.535338,-1.657256,-1.476718,0.739966,1.557206,2.014735,1.971671,-0.013424,-0.737858,-1.088014,12.340912,0.439852,-0.035290
13,0.554700,0,-0.117226,-0.118135,-0.102475,-0.847774,-1.150811,0.059742,0.365517,0.755804,0.614932,-0.165606,-0.107016,-0.522361,-1.453613,4.124085,0.343940,-0.035290
14,0.597300,0,-0.085200,-0.074850,-0.102475,0.057813,-0.884417,0.051067,0.565513,0.547769,-0.068516,-0.155561,-0.103805,-0.651308,-1.234253,2.733747,-0.325904,-0.118489
15,0.640000,0,-0.068413,-0.042555,-0.102475,-0.234549,-0.851254,-0.068083,0.326804,0.488670,-0.246969,-0.015624,-0.104479,-0.572656,-0.868654,1.994205,0.372766,-0.035290
16,0.682700,0,-0.055913,-0.021758,-0.102475,-1.648835,-0.843909,-0.291959,0.421067,0.348756,-0.424708,0.257084,-0.096815,-0.687213,0.264702,1.423897,0.705313,-0.035290
17,0.725300,0,-0.054960,-0.013476,-0.102475,-0.349429,-0.566519,0.232823,0.406830,0.260780,-0.486579,-0.362467,-0.100998,-0.669329,-0.174016,0.993931,0.105900,-0.118489
18,0.768000,0,-0.056865,-0.024122,-0.102475,0.350187,-0.387596,0.031314,0.397220,0.241669,-0.508104,-0.132588,-0.095978,-0.757096,0.228143,0.869413,0.091465,-0.118489
19,0.810700,0,-0.061032,-0.042730,-0.102475,-1.631949,-0.179554,0.203976,0.059567,0.324902,-0.454477,-0.330150,-0.106045,-0.750945,0.520622,0.581164,0.549058,-0.035290
20,0.853300,0,-0.074842,-0.053190,-0.102475,-0.555591,1.324467,-0.066619,0.062688,1.472346,2.053575,-0.017338,-0.109094,-0.800384,0.410942,0.566717,1.009764,-0.035290
21,0.896000,0,-0.076747,-0.054482,-0.102475,-0.391196,1.872369,-0.065522,0.062797,1.805183,2.714041,-0.018661,-0.112899,-0.817535,0.118463,0.268836,0.869833,-0.118489
22,0.938700,0,-0.067580,-0.024825,-0.102475,0.113017,0.084939,-0.519651,0.523296,1.531771,1.871489,0.548559,-0.113763,-0.840726,0.228143,0.141566,0.404082,-0.035290
23,0.981300,0,-0.064008,-0.015861,-0.102475,-0.520943,-0.718037,-0.083394,0.283109,1.505965,1.745860,0.002675,-0.110848,-0.854950,0.703421,-0.077201,0.738239,-0.035290
24,1.024000,0,-0.059484,-0.005318,-0.102475,-0.485392,-0.772305,0.061571,0.277359,1.400273,1.538396,-0.167709,-0.110066,-0.845002,1.032460,-0.207911,0.774721,-0.118489
25,1.066700,0,-0.056746,-0.004495,-0.102475,-1.357043,-0.264016,0.625391,-0.071574,1.453886,1.628914,-0.785078,-0.108770,-0.849815,0.447502,-0.181081,0.920669,-0.035290
26,1.109300,0,-0.060080,-0.010876,-0.102475,-0.446299,0.445299,0.300812,0.047055,1.552928,1.879918,-0.438003,-0.109391,-0.844977,0.776541,-0.238868,0.910780,-0.035290
27,1.152000,0,-0.067461,-0.022087,-0.102475,-0.693809,1.346416,-0.095728,0.167464,1.756080,2.367309,0.017315,-0.109877,-0.847031,0.776541,-0.163882,1.063605,-0.118489
28,1.194700,0,-0.063413,-0.000138,-0.102475,-0.119757,1.327878,-0.477217,0.403435,2.088824,2.807511,0.493114,-0.112791,-0.841836,0.813101,-0.138428,0.535486,-0.035290
29,1.237300,0,-0.065913,-0.019489,-0.102475,-0.215372,0.412566,-0.284643,0.288146,1.687402,2.162471,0.247973,-0.112845,-0.839179,0.959340,-0.159754,0.732516,-0.035290
30,1.280000,0,-0.064485,-0.016985,-0.102475,0.213641,-0.048048,-0.155041,0.283875,1.571667,1.909376,0.088724,-0.110336,-0.845211,0.886221,-0.241620,0.569361,-0.118489
31,1.322700,0,-0.061270,-0.014325,-0.102475,-0.381882,-0.287009,0.220804,0.051025,1.475834,1.701197,-0.348995,-0.111361,-0.835769,0.739981,-0.168010,0.909547,-0.035290
32,1.365300,0,-0.062223,-0.016395,-0.102475,-0.467020,-0.214222,0.182028,0.051682,1.477973,1.721777,-0.305386,-0.109931,-0.834267,0.922781,-0.293904,0.899924,-0.035290
33,1.408000,0,-0.064842,-0.020045,-0.102475,0.187339,0.066930,0.059481,0.168093,1.505174,1.826002,-0.165295,-0.110632,-0.826881,1.032460,-0.259506,0.905327,-0.118489
34,1.450700,0,-0.064604,-0.022983,-0.102475,-0.257545,0.442060,-0.083081,0.170147,1.552882,1.929588,0.002286,-0.111091,-0.833661,1.032460,-0.234740,0.891927,-0.035290
35,1.493300,0,-0.066032,-0.025349,-0.102475,0.233551,0.488380,-0.349444,0.287462,1.570737,1.980410,0.329271,-0.110659,-0.840521,1.032460,-0.251939,0.546069,-0.035290
36,1.536000,0,-0.066985,-0.025026,-0.102475,-0.704385,0.288147,-0.131786,0.285792,1.512009,1.883693,0.060690,-0.109607,-0.829570,0.813101,-0.079265,0.736001,-0.118489
37,1.578700,0,-0.065318,-0.023726,-0.102475,-0.286605,-0.007207,0.263133,0.057376,1.466022,1.755003,-0.396263,-0.109391,-0.804831,0.630301,0.236503,1.235591,-0.035290
38,1.621300,0,-0.065318,-0.024685,-0.102475,-0.481114,-0.187220,0.073486,0.067397,1.401296,1.618059,-0.181492,-0.111577,-0.748221,0.630301,0.363773,0.871787,-0.035290
39,1.664000,0,-0.068294,-0.029317,-0.102475,0.112848,-0.268145,-0.018594,0.187559,1.296349,1.448552,-0.074106,-0.109553,-0.729478,0.520622,0.096162,0.879823,-0.118489
40,1.706700,0,-0.073057,-0.059431,-0.102475,-0.416763,-0.175149,-0.002132,0.189257,0.412970,-0.319152,-0.093497,-0.111010,-0.718758,0.410942,0.164956,0.393858,-0.035290
