id,centroid_mean,centroid_std,spread_mean,spread_std,rolloff_mean,rolloff_std,flux_mean,flux_std,loudness_lufs,loudness_range_lu,f_beat_hz,rms_mean,rms_std,zcr_mean,zcr_std,flatness_mean,flatness_std,slope_mean,slope_std,crest_factor,attack_time_ms,t60_s,temporal_centroid_s,pitch_hz
001,248.022644,589.477600,694.812439,843.459167,403.785461,1267.518677,0.047240,0.404987,-42.764908,16.354462,0.000000,0.002378,0.007376,0.011642,0.018601,0.000997,0.002557,-0.000001,0.000003,17.681892,11264.000000,0.256000,10.010030,115.719910
002,197.038300,426.253204,519.365967,656.912170,291.803833,893.493469,0.089674,0.500839,-40.983330,17.003128,0.000000,0.003758,0.009951,0.008376,0.014280,0.000611,0.001655,-0.000001,0.000003,12.651036,10282.666016,0.288000,8.445848,123.828079
003,71.083191,34.946636,140.582794,213.301407,107.959099,42.048294,0.000372,0.000817,-36.358257,16.229996,0.000000,0.009820,0.009376,0.002506,0.003090,0.000069,0.000322,-0.000002,0.000002,3.505874,1237.333252,18.879999,3.821391,95.648071
004,96.358047,24.355038,120.262138,270.111481,137.577805,12.320160,0.000075,0.000139,-37.893059,2.183849,0.000000,0.011226,0.007545,0.002840,0.003606,0.000092,0.000658,-0.000002,0.000001,2.054902,2485.333496,11.328000,3.447990,95.602180
005,94.173737,14.222414,110.270081,212.859802,135.073181,17.160393,0.000086,0.000236,-31.916174,5.914667,0.549316,0.021098,0.015614,0.002796,0.003628,0.000062,0.000324,-0.000004,0.000003,2.593017,992.000000,15.167999,2.473618,95.953514
006,95.629189,31.850817,176.151443,366.390320,130.965286,26.597589,0.000335,0.002220,-25.373455,6.337482,0.000000,0.045093,0.031711,0.003639,0.005475,0.000198,0.000910,-0.000008,0.000006,1.830536,2058.666748,15.872000,3.638342,97.452797
007,98.614136,29.581751,105.337761,202.088043,141.946304,53.608547,0.000424,0.002760,-25.706017,2.754635,0.000000,0.045791,0.030154,0.002744,0.002836,0.000056,0.000216,-0.000008,0.000006,1.813419,1184.000000,15.104000,3.062434,97.360367
008,72.770729,59.557789,738.535156,506.181854,72.350540,26.689802,0.000102,0.000346,-200.000000,0.000000,0.732422,0.000318,0.000303,0.010320,0.011333,0.000978,0.001286,-0.000000,0.000000,5.141413,490.666656,1.408000,0.638000,76.632942
009,93.834641,20.588459,145.742706,286.183136,132.762863,22.283987,0.000117,0.000561,-29.321661,7.160814,0.549316,0.027338,0.020791,0.003321,0.006286,0.000114,0.000560,-0.000005,0.000004,2.260221,1248.000000,14.655999,2.941547,96.282730
010,99.447403,56.308552,216.745178,456.199158,133.087311,21.921169,0.000147,0.000245,-26.985495,6.618177,0.000000,0.028521,0.028481,0.003914,0.006181,0.000259,0.001515,-0.000005,0.000005,2.400986,2538.666748,4.576000,2.255903,96.443169
011,80.495064,32.681225,213.949448,323.873016,114.310745,38.544281,0.000104,0.000209,-27.288036,13.793915,0.000000,0.023402,0.027068,0.003730,0.005495,0.000146,0.000472,-0.000004,0.000005,2.793467,8405.333984,6.912000,7.502912,96.335777
012,93.394669,12.366961,123.110451,156.938248,134.285355,17.117262,0.000326,0.001151,-35.670242,0.000000,0.732422,0.009639,0.011063,0.002575,0.001514,0.000050,0.000127,-0.000002,0.000002,3.786613,704.000000,2.528000,0.736850,95.699249
013,94.126923,49.231636,133.436951,320.784180,132.095764,88.767929,0.000154,0.000242,-25.566391,4.762159,0.000000,0.046247,0.030099,0.003233,0.005474,0.000134,0.000654,-0.000009,0.000006,1.834064,7797.333008,9.888000,6.266597,97.257156
014,121.168091,270.681549,228.164566,599.300842,170.972427,605.760071,0.000086,0.000184,-26.463017,6.152983,0.000000,0.038100,0.028851,0.004939,0.011597,0.000408,0.002222,-0.000007,0.000005,2.035364,6389.333008,12.032001,6.159812,96.699158
