,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025
001,0.000000,3.450546,8.908555,8.756628,8.762129,8.554320,8.668623,9.696129,8.677739,8.363358,8.681397,9.049162,8.619771,7.215460,8.414200,8.310479,8.665380,8.547769,8.444777,7.933563,7.760685,9.881699,8.530355,10.750652,8.695545
002,3.450546,0.000000,8.161703,8.211160,8.176707,7.987092,8.130781,9.210242,8.095323,7.853860,8.011204,8.490027,8.062754,7.141066,7.816677,7.755807,8.046494,7.940240,7.846868,7.478417,7.358684,9.364250,7.923302,10.280234,8.079061
003,8.908555,8.161703,0.000000,2.464346,2.125801,1.812449,2.414794,4.979750,1.948949,1.842174,0.601128,3.095505,2.039481,2.915302,0.774022,1.120200,1.363715,1.484193,0.918748,1.272650,1.424524,5.108469,1.055828,6.670995,1.493078
004,8.756628,8.211160,2.464346,0.000000,1.193454,0.773144,0.267020,4.365765,1.321210,0.905386,2.050671,1.399571,0.527449,2.136889,2.321584,1.914907,1.431938,1.164889,2.302840,2.491553,2.665599,4.568686,1.693586,6.270189,1.299105
005,8.762129,8.176707,2.125801,1.193454,0.000000,1.067936,1.158747,4.355990,0.268342,1.168910,1.782264,1.041151,1.069733,2.355199,1.983283,1.662315,1.299863,1.148308,1.962797,2.194315,2.364329,4.557899,1.468348,5.695855,1.230149
006,8.554320,7.987092,1.812449,0.773144,1.067936,0.000000,0.693311,4.464357,1.033905,0.277391,1.332670,1.740050,0.347496,1.965852,1.618289,1.302299,0.927649,0.626628,1.662592,1.856594,2.018547,4.647489,1.061890,6.341690,0.858552
007,8.668623,8.130781,2.414794,0.267020,1.158747,0.693311,0.000000,4.583626,1.275175,0.837287,1.992497,1.450520,0.426598,2.050852,2.230613,1.795760,1.316043,1.052269,2.196308,2.375694,2.550385,4.784651,1.591483,6.422823,1.183985
008,9.696129,9.210242,4.979750,4.365765,4.355990,4.464357,4.583626,0.000000,4.334892,4.377770,4.730691,4.142277,4.507298,4.862438,5.102882,5.159547,5.033723,4.822484,5.312552,5.334268,5.365777,0.358650,4.980752,3.421611,4.997284
009,8.677739,8.095323,1.948949,1.321210,0.268342,1.033905,1.275175,4.334892,0.000000,1.100762,1.588077,1.245251,1.107738,2.304953,1.794195,1.531792,1.244478,1.099476,1.808415,2.025285,2.182416,4.528793,1.343290,5.681703,1.204334
010,8.363358,7.853860,1.842174,0.905386,1.168910,0.277391,0.837287,4.377770,1.100762,0.000000,1.330359,1.825236,0.498345,1.753611,1.603525,1.313268,1.068384,0.771235,1.682511,1.776895,1.911561,4.560598,1.124493,6.280841,1.023691
