file,duration_s,n_frames_valid,n_frames_total,temporal_centroid_s,symmetry,attack_ms,decay_ms,onset_count,rms_mean,rms_peak,dynamic_range_db
001.wav,17.126,93,401,10.024,0.587,85.3,85.3,10,0.009084,0.062843,33.5
002.wav,16.215,142,380,8.438,0.522,298.7,85.3,19,0.009892,0.061657,33.8
003.wav,13.319,217,312,3.808,0.287,682.7,6186.7,4,0.013892,0.033443,34.3
004.wav,7.73,161,181,3.437,0.448,1749.3,896.0,0,0.012574,0.019187,30.8
005.wav,7.939,150,186,2.463,0.312,469.3,4522.7,2,0.026013,0.049186,31.7
006.wav,9.85,174,230,3.628,0.371,426.7,810.7,2,0.059596,0.073519,30.2
007.wav,7.96,151,186,3.052,0.387,384.0,810.7,2,0.056355,0.072038,33.8
008.wav,1.979,16,46,0.559,0.291,170.7,256.0,6,0.00062,0.001459,15.5
009.wav,8.412,149,197,2.931,0.35,554.7,4352.0,2,0.035949,0.057161,30.9
010.wav,6.38,102,149,2.245,0.356,1365.3,981.3,1,0.041492,0.070609,31.3
011.wav,17.14,216,401,7.493,0.439,4864.0,853.3,0,0.042956,0.072672,30.8
012.wav,2.614,48,61,0.726,0.284,512.0,768.0,2,0.012125,0.038179,31.7
013.wav,13.967,266,327,6.256,0.45,3157.3,810.7,0,0.05672,0.073781,30.5
014.wav,14.23,249,333,6.149,0.434,4181.3,896.0,0,0.050821,0.07099,30.5
015.wav,15.189,256,355,9.12,0.604,6528.0,896.0,0,0.041192,0.076342,31.8
016.wav,14.75,332,345,4.537,0.309,384.0,10880.0,1,0.042302,0.073182,36.0
017.wav,16.067,345,376,7.147,0.447,4522.7,5077.3,0,0.051164,0.079367,30.5
018.wav,14.379,299,337,6.411,0.447,469.3,5290.7,2,0.040045,0.071009,32.7
019.wav,32.941,722,772,13.906,0.423,512.0,853.3,2,0.042079,0.070911,43.4
020.wav,23.869,514,559,5.93,0.249,426.7,14933.3,2,0.038333,0.075113,30.0
021.wav,19.172,385,449,7.666,0.401,426.7,597.3,3,0.042711,0.078703,33.8
022.wav,1.817,12,42,0.329,0.188,85.3,128.0,4,0.000427,0.000534,5.1
023.wav,24.646,518,577,10.353,0.421,469.3,810.7,1,0.041693,0.072698,42.1
024.wav,1.966,22,46,0.495,0.258,213.3,170.7,7,0.000584,0.001127,10.5
025.wav,27.832,634,652,13.015,0.469,10026.7,10538.7,0,0.046154,0.076488,30.3
